,Partner,Year,Approval Numbers CoFin,Extracted Approval Number,Proj No,Loan/Grant Title
1774,OFID,2014,3124/8288,8288,33209-014,Community-Managed Irrigated Agriculture Sector ﾖ Additional Financing
1775,OFID,2014,3142/8285,3142,39295-013,Third Urban Governance and Infrastructure Improvement (Sector)
1776,OFID,2014,3142/8285,8285,39295-013,Third Urban Governance and Infrastructure Improvement (Sector)
1777,OFID,2014,3157/0405/8304,3157,35173-013,Third Small Towns Water Supply and Sanitation Sector
1778,OFID,2014,3157/0405/8304,0405,35173-013,Third Small Towns Water Supply and Sanitation Sector
1779,OFID,2014,3157/0405/8304,8304,35173-013,Third Small Towns Water Supply and Sanitation Sector
1780,OFID,2015,3250/0471/8303,3250,45041-002,Vientiane Sustainable Urban Transport
1781,OFID,2015,3250/0471/8303,0471,45041-002,Vientiane Sustainable Urban Transport
1782,OFID,2015,3250/0471/8303,8303,45041-002,Vientiane Sustainable Urban Transport
1783,Phu Bia Mining Limited,2013,3041/0363,3041,45301-002,Water Supply and Sanitation Sector
1784,Phu Bia Mining Limited,2013,3041/0363,0363,45301-002,Water Supply and Sanitation Sector
1785,PRIF,2010,2718,2718,44281-013,Road Rehabilitation
1786,PRIF,2011,2718,2718,44281-013,Road Rehabilitation
1787,PriF,2015,2718,2718,44281-013,Road Rehabilitation (Supplementary)
1792,P.R.C.,2012,2962,2962,43031-013,Hunan Xiangjiang Inland Waterway Transport
1793,P.R.C.,2013,3075,3075,46058-002,Qinghai Delingha Concentrated Solar Thermal Power
1794,P.R.C.,2015,3308,3308,47051-002,Chemical Industry Energy Efficiency and Emission Reduction
1795,"P.R.C.,SpDB",2014,3218,3218,47052-002,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region
1810,SCF-PPCR,2011,2839/G0278/8254,2839,43309-013,Provincial Roads Improvement
1811,SCF-PPCR,2011,2839/G0278/8254,G0278,43309-013,Provincial Roads Improvement
1812,SCF-PPCR,2011,2839/G0278/8254,8254,43309-013,Provincial Roads Improvement
1813,SCF-PPCR,2012,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
1814,SCF-PPCR,2012,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
1815,SCF-PPCR,2012,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
1816,SCF-PPCR,2012,2913/0310/8258,2913,45084-002,Coastal Climate-Resilient Infrastructure
1817,SCF-PPCR,2012,2913/0310/8258,0310,45084-002,Coastal Climate-Resilient Infrastructure
1818,SCF-PPCR,2012,2913/0310/8258,8258,45084-002,Coastal Climate-Resilient Infrastructure
1819,SCF-PPCR,2012,2970/0330/8262,2970,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
1820,SCF-PPCR,2012,2970/0330/8262,0330,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
1821,SCF-PPCR,2012,2970/0330/8262,8262,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
1822,SCF-PPCR,2012,2970/0330/8262,2970,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
1823,SCF-PPCR,2012,2970/0330/8262,0330,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
1824,SCF-PPCR,2012,2970/0330/8262,8262,40190-013,Greater Mekong Subregion Flood and Drought Risk Management and Mitigation
1825,SCF-PPCR,2012,2983/0334/0335/8265,2983,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
1826,SCF-PPCR,2012,2983/0334/0335/8265,0334,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
1827,SCF-PPCR,2012,2983/0334/0335/8265,0335,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
1828,SCF-PPCR,2012,2983/0334/0335/8265,8265,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
1829,SCF-PPCR,2012,2983/0334/0335/8265,2983,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
1830,SCF-PPCR,2012,2983/0334/0335/8265,0334,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
1831,SCF-PPCR,2012,2983/0334/0335/8265,0335,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
1832,SCF-PPCR,2012,2983/0334/0335/8265,8265,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
1833,SCF-PPCR,2013,0352,0352,45354-002,Building Climate Resilience in the Pyanj River Basin
1834,SCF-PPCR,2013,0357/0358,0357,44214-024,Building Climate Resilience of Watersheds in Mountain Eco-Regions
1835,SCF-PPCR,2013,0357/0358,0358,44214-024,Building Climate Resilience of Watersheds in Mountain Eco-Regions
1836,SCF-PPCR,2013,0378,0378,46351-002,Climate Resilience Sector
1837,SCF-PPCR,2013,3006/3007/0349/0350/8271,3006,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
1838,SCF-PPCR,2013,3006/3007/0349/0350/8271,3007,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
1839,SCF-PPCR,2013,3006/3007/0349/0350/8271,0349,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
1840,SCF-PPCR,2013,3006/3007/0349/0350/8271,0350,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
1841,SCF-PPCR,2013,3006/3007/0349/0350/8271,8271,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
1842,SCF-PPCR,2013,3006/3007/0349/0350/8271,3006,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
1843,SCF-PPCR,2013,3006/3007/0349/0350/8271,3007,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
1844,SCF-PPCR,2013,3006/3007/0349/0350/8271,0349,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
1845,SCF-PPCR,2013,3006/3007/0349/0350/8271,0350,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
1846,SCF-PPCR,2013,3006/3007/0349/0350/8271,8271,44321-013,Climate-Resilient Rice Commercialization Sector Development Program
1847,SCF-PPCR,2014,3133/0394/0395/8284,3133,44212-013,Coastal Towns Environmental Infrastructure
1848,SCF-PPCR,2014,3133/0394/0395/8284,0394,44212-013,Coastal Towns Environmental Infrastructure
1849,SCF-PPCR,2014,3133/0394/0395/8284,0395,44212-013,Coastal Towns Environmental Infrastructure
1850,SCF-PPCR,2014,3133/0394/0395/8284,8284,44212-013,Coastal Towns Environmental Infrastructure
1851,SCF-PPCR,2014,3133/0394/0395/8284,3133,44212-013,Coastal Towns Environmental Infrastructure
1852,SCF-PPCR,2014,3133/0394/0395/8284,0394,44212-013,Coastal Towns Environmental Infrastructure
1853,SCF-PPCR,2014,3133/0394/0395/8284,0395,44212-013,Coastal Towns Environmental Infrastructure
1854,SCF-PPCR,2014,3133/0394/0395/8284,8284,44212-013,Coastal Towns Environmental Infrastructure
1855,SCF-PPCR,2014,3158/8287,3158,48901-014,Spice Value Chain Development Project
1856,SCF-PPCR,2014,3158/8287,8287,48901-014,Spice Value Chain Development Project
1857,SCF-PPCR,2015,0426,0426,40253-033,Greater Mekong Subregion Biodiversity Conservation CorridorsﾗAdditional Financing
1858,SCF-PPCR,2015,0447,0447,46495-002,Building Climate Resilience to Climate Change in Papua New Guinea
1859,SCF-PPCR,2015,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1860,SCF-PPCR,2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1861,SCF-PPCR,2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1862,SCF-PPCR,2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1863,SCF-PPCR,2015,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1864,SCF-PPCR,2015,3151/401-2/466-7/8299-300,401-2,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1865,SCF-PPCR,2015,3151/401-2/466-7/8299-300,466-7,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1866,SCF-PPCR,2015,3151/401-2/466-7/8299-300,8299-300,42334-014,Rural Roads Improvement IIﾗAdditional Financing
1867,SCF-PPCR,2015,3311/0454/8295,3311,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
1868,SCF-PPCR,2015,3311/0454/8295,0454,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
1869,SCF-PPCR,2015,3311/0454/8295,8295,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
1870,SCF-PPCR,2015,3311/0454/8295,3311,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
1871,SCF-PPCR,2015,3311/0454/8295,0454,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
1872,SCF-PPCR,2015,3311/0454/8295,8295,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
1873,SCF-SREP,2014,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy Development
1874,SCF-SREP,2014,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy Development
1875,SCF-SREP,2014,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy Development
1876,SCF-SREP,2014,3139/0397/0398,3139,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
1877,SCF-SREP,2014,3139/0397/0398,0397,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
1878,SCF-SREP,2014,3139/0397/0398,0398,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
1887,"P.R.C.,SpDB",2014,3218,3218,47052-002,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region
1912,Sweden,2005,2168/7/13/75/0193,2168,36601-013,North East Community Restoration and Development II
1913,Sweden,2005,2168/7/13/75/0193,0007,36601-013,North East Community Restoration and Development II
1914,Sweden,2005,2168/7/13/75/0193,0013,36601-013,North East Community Restoration and Development II
1915,Sweden,2005,2168/7/13/75/0193,0075,36601-013,North East Community Restoration and Development II
1916,Sweden,2005,2168/7/13/75/0193,0193,36601-013,North East Community Restoration and Development II
1921,Sweden,2011,2761,2761,42122-013,Third Primary Education Development
1922,Sweden,2012,2695/0323,2695,39298-013,City Region Development - Additional Financing
1923,Sweden,2012,2695/0323,0323,39298-013,City Region Development - Additional Financing
1924,Sweden,2012,2878/0298,2878,42177-013,Urban Primary Health Care Services Delivery
1925,Sweden,2012,2878/0298,0298,42177-013,Urban Primary Health Care Services Delivery
1954,Switzerland,2011,2796/0267/8257,2796,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
1955,Switzerland,2011,2796/0267/8257,0267,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
1956,Switzerland,2011,2796/0267/8257,8257,38426-023,Decentralized Rural Infrastructure and Livelihood (Additional Financing)
1957,Switzerland,2014,3131/0391,3131,42466-015,Skills for Employment Investment Program ﾖ Tranche 1
1958,Switzerland,2014,3131/0391,0391,42466-015,Skills for Employment Investment Program ﾖ Tranche 1
1968,UCCRTF,2015,3316/0455,3316,47127-002,Mandalay Urban Services Improvement
1969,UCCRTF,2015,3316/0455,0455,47127-002,Mandalay Urban Services Improvement
1970,UCCRTF,2015,3340/0462,3340,43237-013,Urban Environment and Climate Change Adaptation
1971,UCCRTF,2015,3340/0462,0462,43237-013,Urban Environment and Climate Change Adaptation
1972,UFPF-UEIF,2012,2931/G0313-0314,2931,43319-022,Greater Mekong Subregion East-West Economic Corridor Towns Development
1973,UFPF-UEIF,2012,2931/G0313-0314,G0313-0314,43319-022,Greater Mekong Subregion East-West Economic Corridor Towns Development
1974,UFPF-UEIF,2012,2969/0329,2969,43319-043,Greater Mekong Subregion Corridor Towns Development
1975,UFPF-UEIF,2012,2969/0329,0329,43319-043,Greater Mekong Subregion Corridor Towns Development
1976,UFPF-UEIF,2012,2983/0334/0335/8265,2983,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
1977,UFPF-UEIF,2012,2983/0334/0335/8265,0334,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
1978,UFPF-UEIF,2012,2983/0334/0335/8265,0335,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
1979,UFPF-UEIF,2012,2983/0334/0335/8265,8265,43319-033,Greater Mekong Subregion Southern Economic Corridor Towns Development
1980,UFPF-UEIF,2013,3098/3099/0380,3098,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
1981,UFPF-UEIF,2013,3098/3099/0380,3099,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
1982,UFPF-UEIF,2013,3098/3099/0380,0380,45007-004,Ulaanbaatar Urban Services and Ger Areas Development Investment Program ﾗ Tranche 1
1983,UFPF-UEIF,2014,3148/0399,3148,43253-025,Karnataka Integrated Urban Water Management Investment Program ﾖ Tranche 1
1984,UFPF-UEIF,2014,3148/0399,0399,43253-025,Karnataka Integrated Urban Water Management Investment Program ﾖ Tranche 1
1985,"Uzbekistan,UFRD",2014,3141,3141,45306-001,Takhiatash Power Plant Efficiency Improvement
1996,UNDP,1978,0365,0365,46265-001,Kud Multipurpose
2000,UNDP,1979,0447,0447,46495-002,Third Power
2073,UNICEF,2011,2761,2761,42122-013,Third Primary Education Development
2074,UNICEF,2011,G0272/0289,G0272,35174-082,School Sector Program
2075,UNICEF,2011,G0272/0289,0289,35174-082,School Sector Program
2076,UNICEF,2015,3256,3256,42122-013,Third Primary Education DevelopmentﾗAdditional Financing
2077,"U.K.,United Kingdom",2014,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
2078,"U.K.,United Kingdom",2014,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
2079,"U.K.,United Kingdom",2014,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
2080,"U.K.,United Kingdom",2014,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
2085,Uzbekistan,2015,3286,3286,41340-015,Advanced Electricity Metering Phase 4
2086,"Uzbekistan,UFRD",2014,3141,3141,45306-001,Takhiatash Power Plant Efficiency Improvement
2160,U.K.,2011,2761,2761,42122-013,Third Primary Education Development
2161,U.K.,2011,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers (Supplementary)
2162,U.K.,2011,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers (Supplementary)
2163,U.K.,2011,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers (Supplementary)
2164,U.K.,2011,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers (Supplementary)
2165,U.K.,2011,G0272/0289,G0272,35174-082,School Sector Program
2166,U.K.,2011,G0272/0289,0289,35174-082,School Sector Program
2167,U.K.,2012,0305-0306/0368,0305-0306,36172-063,Strengthening Public Management Program
2168,U.K.,2012,0305-0306/0368,0368,36172-063,Strengthening Public Management Program
2169,U.K.,2015,3121/0434,3121,40075-033,National Trade Corridor Highway Investment ProgramﾗTranche 2 
2170,U.K.,2015,3121/0434,0434,40075-033,National Trade Corridor Highway Investment ProgramﾗTranche 2 
2171,U.K.,2015,3197/0435,3197,40075-043,National Trade Corridor Highway Investment ProgramﾗTranche 3 
2172,U.K.,2015,3197/0435,0435,40075-043,National Trade Corridor Highway Investment ProgramﾗTranche 3 
2173,U.K.,2015,3300/0440,3300,48402-001,National Motorway M-4 GojraﾖShorkot Section
2174,U.K.,2015,3300/0440,0440,48402-001,National Motorway M-4 GojraﾖShorkot Section
2175,"U.K.,DFID",2015,3134/0451,3134,47281-001,National Highway Network Development in Balochistan
2176,"U.K.,DFID",2015,3134/0451,0451,47281-001,National Highway Network Development in Balochistan
2177,"U.K.,United Kingdom",2014,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
2178,"U.K.,United Kingdom",2014,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
2179,"U.K.,United Kingdom",2014,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
2180,"U.K.,United Kingdom",2014,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
2199,WFPF-SFPTF,2014,3133/0394/0395/8284,3133,44212-013,Coastal Towns Environmental Infrastructure
2200,WFPF-SFPTF,2014,3133/0394/0395/8284,0394,44212-013,Coastal Towns Environmental Infrastructure
2201,WFPF-SFPTF,2014,3133/0394/0395/8284,0395,44212-013,Coastal Towns Environmental Infrastructure
2202,WFPF-SFPTF,2014,3133/0394/0395/8284,8284,44212-013,Coastal Towns Environmental Infrastructure
2203,WFPF-SFPTF,2014,3157/0405/8304,3157,35173-013,Third Small Towns Water Supply and Sanitation Sector
2204,WFPF-SFPTF,2014,3157/0405/8304,0405,35173-013,Third Small Towns Water Supply and Sanitation Sector
2205,WFPF-SFPTF,2014,3157/0405/8304,8304,35173-013,Third Small Towns Water Supply and Sanitation Sector
2206,WFPF-SFPTF,2014,3182/3183/0413,3182,42267-026,Rajasthan Urban Sector Development Program
2207,WFPF-SFPTF,2014,3182/3183/0413,3183,42267-026,Rajasthan Urban Sector Development Program
2208,WFPF-SFPTF,2014,3182/3183/0413,0413,42267-026,Rajasthan Urban Sector Development Program
2213,WHO,2011,2785/0259/8274,2785,41509-013,Rural Primary Health Services Delivery
2214,WHO,2011,2785/0259/8274,0259,41509-013,Rural Primary Health Services Delivery
2215,WHO,2011,2785/0259/8274,8274,41509-013,Rural Primary Health Services Delivery
2216,WHO,2012,2963,2963,45009-002,Fifth Health Sector Development
2339,World Bank,2010,2718,2718,44281-013,Road Rehabilitation
2342,World Bank,2011,2718,2718,44281-013,Road Rehabilitation
2343,World Bank,2011,2761,2761,42122-013,Third Primary Education Development
2345,World Bank,2011,G0272/0289,G0272,35174-082,School Sector Program
2346,World Bank,2011,G0272/0289,0289,35174-082,School Sector Program
2347,World Bank,2012,2942,2942,46093-001,Inclusive Growth through Improved Connectivity Program - Subprogram 1
2348,World Bank,2013,3008/3009,3008,39293-037,Education Sector Development Program
2349,World Bank,2013,3008/3009,3009,39293-037,Education Sector Development Program
2350,World Bank,2013,3045/3046,3045,42180-013,Second Public-Private Infrastructure Development Facility
2351,World Bank,2013,3045/3046,3046,42180-013,Second Public-Private Infrastructure Development Facility
2352,World Bank,2013,3047,3047,44213-016,Secondary Education Sector Investment Program - Tranche 1
2353,World Bank,2013,3068,3068,46093-004,"Inclusive Growth through Improved Connectivity Program, Subprogram 2"
2354,World Bank,2014,0416,0416,47314-001,Strengthening Fiscal Stability Program
2355,World Bank,2014,3100,3100,46420-002,KALAHI-CIDSS National Community-Driven Development 
2356,World Bank,2014,3119/3120,3119,42251-018,Skills Sector Enhancement Program
2357,World Bank,2014,3119/3120,3120,42251-018,Skills Sector Enhancement Program
2358,World Bank,2014,3126,3126,47015-001,Sustainable Energy Sector Reform Program ﾖ Subprogram 1
2359,World Bank,2014,3227/3228,3227,47293-001,Improving Competitiveness Program
2360,World Bank,2014,3227/3228,3228,47293-001,Improving Competitiveness Program
2361,World Bank,2015,0442,0442,47318-001,Strengthened Fiscal Sustainability Program
2362,World Bank,2015,0458,0458,47320-001,Samoa Submarine Cable
2363,World Bank,2015,2718,2718,44281-013,Road Rehabilitation (Supplementary)
2364,World Bank,2015,2718,2718,44281-013,Road Rehabilitation (Supplementary)
2365,World Bank,2015,3210,3210,48141-001,Transport Infrastructure Investment Sector
2366,World Bank,2015,3256,3256,42122-013,Third Primary Education DevelopmentﾗAdditional Financing
2367,World Bank,2015,3279/3280,3279,47137-003,Health Sector Governance Program
2368,World Bank,2015,3279/3280,3280,47137-003,Health Sector Governance Program
2369,World Bank,2015,3279/3280,3279,47137-003,Health Sector Governance Program
2370,World Bank,2015,3279/3280,3280,47137-003,Health Sector Governance Program
2371,World Bank,2015,3303/8293,3303,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
2372,World Bank,2015,3303/8293,8293,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
2373,World Bank,2015,3320,3320,44213-017,Secondary Education Sector Investment ProgramﾗTranche 2
2374,World Bank,2015,3321/3322,3321,47015-002,Sustainable Energy Sector Reform ProgramﾗTranche 2 
2375,World Bank,2015,3321/3322,3322,47015-002,Sustainable Energy Sector Reform ProgramﾗTranche 2 
2376,World Bank,2015,3339/8297,3339,49080-001,Electricity Grid StrengtheningﾗSumatra Program
2377,World Bank,2015,3339/8297,8297,49080-001,Electricity Grid StrengtheningﾗSumatra Program
2380,,2016,3369,3369,43407-014,Social Protection Support - Additional Financing
