,Donor,Unknown,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,Status Cofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
2692,KEXIM,Korea,2013,2013.0,353,3013/0353,40255-033,,,VIE,Central Mekong Delta Region Connectivity ,SERD,SETC,08/05/2013,,,,,0.0,,260.0,,260.0,DVA,FW,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Road Transport,,,,No,,08/05/2013,,,,,Sovereign,,,,$60 million under current FCA with KEXIM; $200 million under first FCA which has expired in 2013.,,3013
2695,KEXIM,"Korea,KEXIM",2015,2015.0,,3047,44213-016,74,,BAN,Secondary Education Sector Investment ProgramﾗTranche 1 (Supplementary),SARD,SAHS,07/20/2015,,,,,0.0,,39.0,,39.0,DVA,FW,Collaborative,Bilateral,Loan,,3100.0,Education,3103,Upper Secondary Education,,,,Yes,,07/20/2015,,,,,Sovereign,,,,,,3047
2698,KOICA,"Korea,KOICA",2013,2013.0,3047 (CG),3047,44213-016,74,,BAN,Secondary Education Sector Investment Program - Tranche 1 (Supplementary),SARD,SAHS,12/16/2013,,,,,0.0,3.5,,,3.5,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,3103,Upper Secondary Education,,,,No,,12/16/2013,,,,,Sovereign,,,,,,3047
2701,KEXIM,Korea,2014,2014.0,3119 (CL),3119/3120,42251-018,,,SRI,Skills Sector Enhancement Program,SARD,SAHS,03/28/2014,,,,,0.0,,26.0,,26.0,DVA,FW,Collaborative,Bilateral,Loan,,3100.0,Education,,Technical Education and Vocational Skills Training,,,,No,,03/28/2014,,,,,Sovereign,,,,,,3119
2704,KEXIM,Korea,2014,2014.0,3151 (CL),3151/401/402/466/467/8299/8300,42334-014,,,CAM,Rural Roads Improvement II,SERD,SETC,08/08/2014,,,,,0.0,,41.0,,41.0,DVA,FW,Collaborative,Bilateral,Loan,,3700.0,Transport,,Road Transport,,,,No,,08/08/2014,,,,,Sovereign,,,,,,3151
2727,Kuwait Fund,Kuwait,2015,2015.0,,3124/8288,33209-014,,,NEP,Community-Managed Irrigated Agriculture SectorﾗAdditional Financing,SARD,SAER,05/05/2015,,,,,0.0,,17.0,,17.0,DVA,PS,Collaborative,Bilateral,Loan,,3000.0,"Agriculture, Natural Resources and Rural Development",,,,,,No,,05/05/2015,,,,,Sovereign,,,,,,3124
2850,NDF,NDF,2010,2010.0,2670 (CG),2670,42334,,,CAM,Rural Roads Improvement,SERD,SETU,09/23/2010,,,,,0.0,5.4,,,5.4,DVA,Others,Collaborative,Multilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,,,09/23/2010,01/06/2011,,,,Sovereign,,,,Collaborative grant,DR 2011. para on grant cof pp 13.,2670
2853,NDF,NDF,2011,2011.0,2789 (CG),2789,41433-013,,,VIE,Transport Connections in Northern Mountainous Provinces,SERD,SETC,09/30/2011,,,,,0.0,2.78,,,2.78,DVA,,Collaborative,Multilateral,Grant,ADF,3700.0,Transport and ICT,,Road Transport,,,,,,09/30/2011,04/16/2012,,,,Sovereign,,,,Euro 2 million,DR 2011. para on grant cof pp 13.,2789
2860,Neighbourhood Investment Facility,Neighbourhood Investment Facility,2013,2013.0,2993 (CG),2993,42145-043,,,ARM,North-South Road Corridor Investment ProgramﾗTranche 3,CWRD,CWTC,09/27/2013,,,,,0.0,7.9,,,7.9,DVA,Others,Collaborative,Multilateral,Grant,,3700.0,Transport,,,,,,Yes,,09/27/2013,,,,,Sovereign,,,,Managed by EBRD,,2993
2867,SNV Netherlands Development Organisation,Netherlands,2010,2010.0,0228 (CG),228,,,,BHU,Rural Renewable Energy Development,SARD,,10/29/2010,,,,,0.0,0.27,,,0.27,DVA,,Collaborative,Bilateral,Grant,ADF Grant,3200.0,Energy,,,,,,,,10/29/2010,01/14/1976,,05/01/1979,,Sovereign,,,,,,228
3016,New Zealand,New Zealand,2010,2010.0,,243,,,,SOL,Transport Sector Development,PARD,,12/15/2010,,,,,0.0,30.0,,,30.0,DVA,,Collaborative,Bilateral,Grant,ADF Grant,3700.0,Transport and ICT,,,,,,,,12/15/2010,,,,,Sovereign,,,,MOU signed 14 December 2012,,243
3031,New Zealand,"New Zealand,New Zealand",2014,2014.0,,416,47314-001,,,KIR,Strengthening Fiscal Stability Program,PARD,SPSO,11/28/2014,,,,,0.0,0.9,,,0.9,DVA,PS,Collaborative,Bilateral,Grant,,3600.0,Public Sector Management,,"Public Expenditure and Fiscal Management, Reforms of State Owned Enterprises",,,,No,,11/28/2014,,,,,Sovereign,,,,,,416
3034,New Zealand,New Zealand,2015,2015.0,,442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,,,0.0,0.4,,,0.4,DVA,PS,Collaborative,Bilateral,Grant,,3600.0,Public Sector Management,,"Public Expenditure and Fiscal Management, Reforms of State Owned Enterprises",,,,No,,09/30/2015,,,,,Sovereign,,,,,,442
3192,Norway,Norway,2011,2011.0,0272 (CG),G0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0.0,22.4,,,22.4,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,DR 2011. para on grant cof and new proj pp 15.,G0272
3430,OFID,OFID,2007,2007.0,,2196/0023,38236,,,TAJ,Dushanbe-Kyrgyz Border Road Rehabilitation Phase II,CWRD,,12/04/2007,,,,,0.0,,3.5,,3.5,DVA,,Collaborative,Multilateral,Loan,ADF,3700.0,Transport and ICT,,,,,,,,12/04/2007,03/13/2006,,11/16/2010,,Sovereign,,,,Loan approved in 17 Nov 2005 OFID app 4Dec07. ADB advised OFID on 13 Oct 2008 that administering the OFID loan would be difficult; suggested direct administration of loan.,,2196
3509,PRIF,PRIF,2010,2010.0,2718 (CG),2718,44281-013,,,KIR,Road Rehabilitation,PARD,SPSO,12/10/2010,,,,,0.0,4.61,,,4.61,DVA,Others,Collaborative,Multilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,,,12/10/2010,08/26/2011,,,,Sovereign,,,,Multidonor. Collaborative grant $4.61; managed by WB,"DR 2010. para on new proj of the year, pp 14.",2718
3512,PRIF,PriF,2015,2015.0,,2718,44281-013,,,KIR,Road Rehabilitation (Supplementary),PARD,SPSO,06/23/2015,,,,,0.0,7.0,,,7.0,DVA,PS,Collaborative,Multilateral,Grant,ADF,3700.0,Transport,,,,,,Yes,,06/23/2015,,,,,Sovereign,,,,,"DR 2010. para on new proj of the year, pp 14.",2718
3525,China Construction Bank Corporation,P.R.C.,2012,2012.0,,2962,43031-013,,,PRC,Hunan Xiangjiang Inland Waterway Transport,EARD,EATC,12/07/2012,,,,,0.0,,65.4,,65.4,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Water Transport,,,,No,,12/07/2012,,,,,Sovereign,,,,"MOU collab cof  signed between ADB project officer Xiaohong Yang and Tao He, VP Changsha, Tieying BRanch, CCB.  ref email: H Carnecer to MJS 25 Jan 2013.",,2962
3528,Export-Import Bank of China,P.R.C.,2013,2013.0,3075,3075,46058-002,,,PRC,Qinghai Delingha Concentrated Solar Thermal Power,EARD,EAEN,12/02/2013,,,,,0.0,,75.58,,75.58,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Renewable Energy,,,,No,,12/02/2013,,,,,Sovereign,,,,,,3075
3531,SPDB,"P.R.C.,SpDB",2014,2014.0,,3218,47052-002,,,PRC,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region,EARD,EAEN,12/09/2014,,,,,0.0,,162.38,,162.38,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Energy Utility Services,,,,No,,12/09/2014,,,,,Sovereign,,,,Shanghai Pudong Development Bank - other concessional cofinancing,,3218
3534,China Construction Bank,"P.R.C.,China Construction Bank",2015,2015.0,,3308,47051-002,,,PRC,Chemical Industry Energy Efficiency and Emission Reduction,EARD,EAOD,10/30/2015,,,,,0.0,,81.73,,81.73,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,3214,Energy Efficiency and Conservation,04/17/2015,,,No,,10/30/2015,,,,Approved,Sovereign,,,,,,3308
3652,SPDB,"P.R.C.,SpDB",2014,2014.0,,3218,47052-002,,,PRC,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region,EARD,EAEN,12/09/2014,,,,,0.0,,162.38,,162.38,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Energy Utility Services,,,,No,,12/09/2014,,,,,Sovereign,,,,Shanghai Pudong Development Bank - other concessional cofinancing,,3218
3659,State Bank of India,"India,State Bank of India",2015,2015.0,3225/3226,3225/3226,44444-013,,,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,,,,,0.0,,41.66,,41.66,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,,11/01/2015,,,Yes,,11/01/2015,,,,Approved,Sovereign,,,,,,3225
3715,Sida,Sweden,2011,2011.0,2761 (CG),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.0,45.0,,,45.0,DVA,,Collaborative,Bilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
3786,SDC,Switzerland,2011,2011.0,2796 (CG),2796/0267/8257,38426-023,,,NEP,Decentralized Rural Infrastructure and Livelihood (Additional Financing),SARD,SAER,10/31/2011,,,,,0.0,7.06,,,7.06,DVA,,Collaborative,Bilateral,Grant,"ADF,ADF Grant",3700.0,Transport and ICT,,,,,,,,10/31/2011,04/23/2012,,,,Sovereign,,,,Swiss Agency for Development and Cooperation,,2796
3793,International Cooperation and Development Fund (ICDF),"Taipei,China",1992,1992.0,,1211,23132,,,PNG,Third Urban Water Supply,PARD,,12/15/1992,,,,,0.0,,6.7,,6.7,DVA,,Collaborative,Bilateral,Loan,OCR,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,12/15/1992,12/07/1994,,08/09/2002,,Sovereign,S,,,,,1211
3849,UFRD,"Uzbekistan,UFRD",2014,2014.0,,3141,45306-001,,,UZB,Takhiatash Power Plant Efficiency Improvement,CWRD,CWEN,12/05/2014,,,,,0.0,,270.0,,270.0,DVA,,Collaborative,Bilateral,Loan,,3200.0,Energy,,"Conventional Energy Generation, Energy Sector Development and Institutional Reform, Energy Efficiency and Conservation",,,,No,,12/05/2014,,,,,Sovereign,,,,Uzbekistan Fund for Reconstruction and Development - other concessional cofinancing,,3141
4094,UNICEF,UNICEF,2011,2011.0,2761 (CG),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.0,0.5,,,0.5,DVA,,Collaborative,Multilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
4097,UNICEF,UNICEF,2015,2015.0,,3256,42122-013,,,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,,,,0.0,0.1,,,0.1,DVA,PS,Collaborative,Multilateral,Grant,,3100.0,Education,,Pre-Primary and Primary,,,,No,,05/20/2015,,,,,Sovereign,,,,,,3256
4099,UNICEF,UNICEF,2011,2011.0,0272 (CG),G0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0.0,1.0,,,1.0,DVA,,Collaborative,Multilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,DR 2011. para on grant cof and new proj pp 15.,G0272
4114,UFRD,"Uzbekistan,UFRD",2014,2014.0,,3141,45306-001,,,UZB,Takhiatash Power Plant Efficiency Improvement,CWRD,CWEN,12/05/2014,,,,,0.0,,270.0,,270.0,DVA,,Collaborative,Bilateral,Loan,,3200.0,Energy,,"Conventional Energy Generation, Energy Sector Development and Institutional Reform, Energy Efficiency and Conservation",,,,No,,12/05/2014,,,,,Sovereign,,,,Uzbekistan Fund for Reconstruction and Development - other concessional cofinancing,,3141
4116,UFRD,Uzbekistan,2015,2015.0,,3286,41340-015,,,UZB,Advanced Electricity Metering Phase 4,CWRD,CWEN,09/18/2015,,,,,0.0,,70.0,,70.0,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Electricity Transmission and Distribution,,,,No,,09/18/2015,,,,,Sovereign,,,,,,3286
4275,DFID,U.K.,2011,2011.0,2761 (CG),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.0,190.0,,,190.0,DVA,,Collaborative,Bilateral,Grant,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
4295,DFID,U.K.,2011,2011.0,0272 (CG),G0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0.0,4.0,,,4.0,DVA,,Collaborative,Bilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,DR 2011. para on grant cof and new proj pp 15.,G0272
4377,WHO,WHO,2012,2012.0,,2963,45009-002,,,MON,Fifth Health Sector Development,EARD,EASS,12/10/2012,,,,,0.0,0.48,,,0.48,DVA,PS,Collaborative,Multilateral,Grant,,3400.0,Health and Social Protection,,Health Systems,,,,No,,12/10/2012,,,,,Sovereign,,,,,"DR 2012. para in EARD section on New Joint Initiatives, pp 12.",2963
4402,World Bank,World Bank,2014,2014.0,,416,47314-001,,,KIR,Strengthening Fiscal Stability Program,PARD,SPSO,11/28/2014,,,,,0.0,8.2,,,8.2,DVA,PS,Collaborative,Multilateral,Grant,,3600.0,Public Sector Management,,"Public Expenditure and Fiscal Management, Reforms of State Owned Enterprises",,,,No,,11/28/2014,,,,,Sovereign,,,,,,416
4405,World Bank,World Bank,2015,2015.0,,442,47318-001,,,TUV,Strengthened Fiscal Sustainability Program,PARD,SPSO,09/30/2015,,,,,0.0,1.5,,,1.5,DVA,PS,Collaborative,Multilateral,Grant,,3600.0,Public Sector Management,,"Public Expenditure and Fiscal Management, Reforms of State Owned Enterprises",,,,No,,09/30/2015,,,,,Sovereign,,,,,,442
4411,World Bank,World Bank,2015,2015.0,,458,47320-001,,,SAM,Samoa Submarine Cable,PARD,PAUS,11/20/2015,,,,,0.0,16.0,,,16.0,DVA,PS,Collaborative,Multilateral,Grant,,4000.0,Information and Communication Technology,,,,,,No,,11/20/2015,,,,,Sovereign,,,,,,458
4714,World Bank,World Bank,2009,2009.0,,2562,41121,M0024,,KAZ,CAREC Transport Corridor I (Zhambyl Oblast Section)[Western Europe-Western People' Republic of China International Transit Corridor] Investment Program - Tranche 2,CWRD,CWTC,10/07/2009,,,,,0.0,,2125.0,,2125.0,DVA,Others,Collaborative,Multilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,10/07/2009,04/13/2010,,,,Sovereign,,,,Ref PFR,"DR 2011. para on FCA, pp 11.",2562
4720,World Bank,World Bank,2010,2010.0,2701 (CL),2701-2702,35049,,,BAN,Padma Multipurpose Bridge,SARD,SATC,11/25/2010,,,,,0.0,,1200.0,,1200.0,DVA,PS,Collaborative,Multilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,11/25/2010,,,,,Sovereign,,,,,"DR 2010. para on new proj of the year, pp 13. DR 2011. para on FCA, pp 11.",2701-2702
4726,World Bank,World Bank,2010,2010.0,,2718,44281-013,,,KIR,Road Rehabilitation,PARD,SPSO,12/10/2010,,,,,0.0,16.0,,,16.0,DVA,PS,Collaborative,Multilateral,Grant,ADF,3700.0,Transport and ICT,,,,,,,,12/10/2010,08/26/2011,,,,Sovereign,,,,Collaborative loan $16.0m.,"DR 2010. para on new proj of the year, pp 14.",2718
4729,World Bank,World Bank,2015,2015.0,,2718,44281-013,,,KIR,Road Rehabilitation (Supplementary),PARD,SPSO,06/23/2015,,,,,0.0,6.0,,,6.0,DVA,PS,Collaborative,Multilateral,Grant,ADF,3700.0,Transport,,,,,,Yes,,06/23/2015,,,,,Sovereign,,,,"change classification of WB cof from ""grant"" to ""loan"" per final SOP. ","DR 2010. para on new proj of the year, pp 14.",2718
4738,World Bank,World Bank,2011,2011.0,2761 (CL),2761,42122-013,,,BAN,Third Primary Education Development,SARD,SAHS,07/05/2011,,,,,0.0,,300.0,,300.0,DVA,,Collaborative,Multilateral,Loan,ADF,3100.0,Education,,Pre-Primary and Basic Education,,,,No,,07/05/2011,12/05/2011,,,,Sovereign,,,,,"DR 2011. para on grant cof pp 13,15.",2761
4744,World Bank,World Bank,2013,2013.0,,3008/3009,39293-037,,,SRI,Education Sector Development Program,SARD,SAHS,06/27/2013,,,,,0.0,,100.0,,100.0,DVA,PS,Collaborative,Multilateral,Loan,,3100.0,Education,,Education Sector Development,,,,No,,06/27/2013,,,,,Sovereign,,,,,,3008
4747,World Bank,World Bank,2013,2013.0,3045 (CL),3045/3046,42180-013,,,BAN,Second Public-Private Infrastructure Development Facility,SARD,SAPF,10/17/2013,,,,,0.0,,99.5,,99.5,DVA,Others,Collaborative,Multilateral,Loan,,3300.0,Finance,,,,,,No,,10/17/2013,,,,,Sovereign,,,,,,3045
4750,World Bank,World Bank,2013,2013.0,3047 (CL),3047,44213-016,74,,BAN,Secondary Education Sector Investment Program - Tranche 1,SARD,SAHS,10/21/2013,,,,,0.0,,100.0,,100.0,DVA,Others,Collaborative,Multilateral,Loan,,3100.0,Education,3103,Upper Secondary Education,,,,No,,10/21/2013,,,,,Sovereign,,,,,,3047
4753,World Bank,World Bank,2013,2013.0,3068 (CL),3068,46093-004,,,INO,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",SERD,IRM,11/27/2013,,,,,0.0,,300.0,,300.0,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport and ICT,,Transport Management and Policies,,,,No,,11/27/2013,,,,,Sovereign,,,,,,3068
4756,World Bank,World Bank,2014,2014.0,,3100/0472,46420-002,,,PHI,KALAHI-CIDSS National Community-Driven Development,SERD,SEHS,06/23/2014,,,,,0.0,,479.0,,479.0,DVA,PS,Collaborative,Multilateral,Loan,,3100.0,Education,,,,,,,,06/23/2014,,,,Approved,Sovereign,,,,,,3100
4759,World Bank,World Bank,2014,2014.0,3119 (CL2),3119/3120,42251-018,,,SRI,Skills Sector Enhancement Program,SARD,SAHS,03/28/2014,,,,,0.0,,100.0,,100.0,DVA,PS,Collaborative,Multilateral,Loan,,3100.0,Education,,Technical Education and Vocational Skills Training,,,,No,,03/28/2014,,,,,Sovereign,,,,,,3119
4762,World Bank,World Bank,2014,2014.0,3126 (CL),3126,47015-001,,,PAK,Sustainable Energy Sector Reform Program ﾖ Subprogram 1,CWRD,CWEN,04/24/2014,,,,,0.0,,600.0,,600.0,DVA,,Collaborative,Multilateral,Loan,,3200.0,Energy,,Energy Sector Development,,,,No,,04/24/2014,,,,Approved,Sovereign,,,,,,3126
4768,World Bank,World Bank,2014,2014.0,,3227/3228,47293-001,,,VIE,Improving Competitiveness Program,SERD,VRM,11/28/2014,,,,,0.0,,250.0,,250.0,DVA,PS,Collaborative,Multilateral,Loan,,3600.0,Public Sector Management,,Economic Affairs Management,,,,No,,11/28/2014,,,,,Sovereign,,,,,,3227
4771,World Bank,World Bank,2015,2015.0,,3256,42122-013,,,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,,,,0.0,,400.0,,400.0,DVA,PS,Collaborative,Multilateral,Loan,,3100.0,Education,,Pre-Primary and Primary,,,,No,,05/20/2015,,,,,Sovereign,,,,,,3256
4774,World Bank,World Bank,2015,2015.0,,3279/3280,47137-003,,,LAO,Health Sector Governance Program,SERD,SEHS,09/18/2015,,,,,0.0,,13.2,,13.2,DVA,PS,Collaborative,Multilateral,Loan,,3400.0,Health,,,,,,No,,09/18/2015,,,,Approved,Sovereign,,,,,,3279
4775,World Bank,World Bank,2015,2015.0,,3279/3280,47137-003,,,LAO,Health Sector Governance Program,SERD,SEHS,09/18/2015,,,,,0.0,13.2,,,13.2,DVA,PS,Collaborative,Multilateral,Grant,,3400.0,Health,,,,,,No,,09/18/2015,,,,Approved,Sovereign,,,,,,3279
4778,World Bank,World Bank,2015,2015.0,,3303/8293,49043-001,,,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,,,,,0.0,,500.0,,500.0,DVA,,Collaborative,Multilateral,Loan,,3200.0,Energy,,,,,,No,,09/30/2015,,,,,Sovereign,,,,,,3303
4781,World Bank,World Bank,2015,2015.0,,3320,44213-017,,,BAN,Secondary Education Sector Investment ProgramﾗTranche 2,SARD,SAHS,11/20/2015,,,,,0.0,,265.0,,265.0,DVA,PS,Collaborative,Multilateral,Loan,,3100.0,Education,3113,Education Sector Development,,,,No,,11/20/2015,,,,,Sovereign,,,,,,3320
4784,World Bank,World Bank,2015,2015.0,,3321/3322,47015-002,,,PAK,Sustainable Energy Sector Reform ProgramﾗTranche 2 ,CWRD,CWEN,11/20/2015,,,,,0.0,,500.0,,500.0,DVA,PS,Collaborative,Multilateral,Loan,,3100.0,Energy,,,11/20/2015,,,Yes,,11/20/2015,,,,Approved,Sovereign,,,,,,3321
4787,World Bank,World Bank,2015,2015.0,8297,3339/8297,49080-001,,,INO,Electricity Grid StrengtheningﾗSumatra Program,SERD,SEEN,12/02/2015,,,,,0.0,,500.0,,500.0,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,,,,,No,,12/02/2015,,,,Approved,Sovereign,,,,,,3339
4790,World Bank,World Bank,2015,2015.0,3346/3347,3346/3347,46382,,,PAL,North Pacific Regional Connectivity InvestmentﾗAdditional Financing,PARD,PAUS,12/11/2015,,,,,0.0,,22.5,,22.5,DVA,PS,Collaborative,Multilateral,Loan,,4000.0,Information and Communication Technology,,,,,,Yes,,12/11/2015,,,,Approved,Sovereign,,,,,,3346
4796,World Bank,World Bank,2011,2011.0,256,G0256,44170,,,TON,Tonga-Fiji Submarine Cable,PARD,PAUS,08/23/2011,,,,,0.0,16.5,,,16.5,DVA,,Collaborative,Multilateral,Grant,,3700.0,Transport and ICT,,ICT,,,,No,,08/23/2011,12/21/2011,,,,Sovereign,,,,"from WB-IDA. Gi Soon Song (PARD), Taisuke Miyao (COSO) and Johannes Versantvoort (OGC) got a Cofin award 2011 for preparing the project jointly with WB, and successfully overcoming significant difficulties with respect to joint procurement",,G0256
4799,World Bank,World Bank,2011,2011.0,0272 (CG),G0272/0289,35174-082,,,NEP,School Sector Program,SARD,NRM,11/22/2011,,,,,0.0,72.5,,,72.5,DVA,,Collaborative,Multilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,,DR 2011. para on grant cof and new proj pp 15.,G0272
