,Year,Loan Grant No,DMC,Project Name,SF Source,OCR Loan,ADF Loan,ADF Grant,Other SF,Total,Cofinancier,Grant,Loan,Total.1,ADB Approval
327,2012,2857/2858,TIM,Road Network Upgrading,,30.85,9.15,0.0,0.0,40.0,JICA,0.0,68.7,68.7,30-Mar-2012
328,2012,G0272/0289,NEP,School Sector Program (Supplementary),,0.0,0.0,0.0,0.0,0.0,Australia,3.47,0.0,3.47,28-Mar-2012
329,2012,0175/0176/0177/0207/0210,SOL,Second Road Improvement (Sector) (3rd Supplementary),,0.0,0.0,0.0,0.0,0.0,Australia,2.14,0.0,2.14,15-Mar-2012
330,2012,2980/0331,PRC,Shaanxi Weinan Luyang Integrated Saline Land Management,,100.0,0.0,0.0,0.0,100.0,GEF,2.0,0.0,2.0,17-Dec-2012
331,2012,2949/8263,BAN,South Asia Subregional Economic Cooperation Road Connectivity,,0.0,198.0,0.0,0.0,198.0,ADFD,0.0,30.0,60.0,22-Nov-2012
332,2012,2949/8263,BAN,South Asia Subregional Economic Cooperation Road Connectivity,,,,,,,OFID,0.0,30.0,,
333,2012,0305-0306/0368,NEP,Strengthening Public Management Program,,0.0,0.0,21.0,0.0,21.0,DFID,4.0,0.0,4.0,26-Sep-2012
334,2012,2945/7376/CF8260,THA,Theppana Wind Power,,4.54,0.0,0.0,0.0,4.54,CTF,0.0,4.0,4.0,20-Nov-2012
336,2012,2878/0298,BAN,Urban Primary Health Care Services Delivery,,0.0,50.0,0.0,0.0,50.0,Sida,20.0,0.0,20.0,18-Jul-2012
337,2012,2934/2935/0315,MON,Urban Transport Development Investment Program - Tranche 1,,29.7,30.2,0.0,0.0,59.9,GEF,1.5,0.0,1.5,08-Nov-2012
338,2013,3015/0354/8272,INO,West Kalimantan Power Grid Strengthening,,49.5,0.0,0.0,0.0,49.5,AFD,0.0,49.5,51.5,27-Aug-2013
339,2013,3015/0354/8272,INO,West Kalimantan Power Grid Strengthening,,,,,,,CEF-CEFPF,2.0,0.0,,
340,2013,3025/3026,UZB,Amu Bukhara Irrigation System Rehabilitation,,174.0,46.0,0.0,0.0,220.0,JICA,0.0,100.0,100.0,25-Sep-2013
342,2013,0357/0358,NEP,Building Climate Resilience of Watersheds in Mountain Eco-Regions,,0.0,0.0,0.0,0.0,0.0,NDF,4.63,0.0,28.17,23-Sep-2013
343,2013,0357/0358,NEP,Building Climate Resilience of Watersheds in Mountain Eco-Regions,,,,,,,SCF-PPCR,23.54,0.0,,
344,2013,3056/0366,KGZ,"Central Asia Regional Economic Cooperation Corridor 3 (Bishkek-Osh Road) Improvement, Phase 4",,0.0,65.0,35.0,0.0,100.0,EDB,0.0,60.0,60.0,05-Nov-2013
345,2013,3013/0353,VIE,Central Mekong Delta Region Connectivity,,410.0,0.0,0.0,0.0,410.0,Australia,134.0,0.0,394.0,05-Aug-2013
346,2013,3013/0353,VIE,Central Mekong Delta Region Connectivity,,,,,,,KEXIM,0.0,260.0,,
347,2013,2992/8268/7384,THA,Central Thailand Solar Power,,52.0,0.0,0.0,0.0,52.0,CTF,0.0,35.0,35.0,28-Feb-2013
349,2013,3006/3007/0349/0350/8271,CAM,Climate-Resilient Rice Commercialization Sector Development Program,,0.0,55.0,0.0,0.0,55.0,GAFSP,14.6,0.0,24.1,27-Jun-2013
350,2013,3006/3007/0349/0350/8271,CAM,Climate-Resilient Rice Commercialization Sector Development Program,,,,,,,SCF-PPCR,4.5,5.0,,
351,2013,3094/0379,INO,Coral Reef Rehabilitation and Management Program-Coral Triangle Initiative,,45.52,0.0,0.0,0.0,45.52,GEF,8.0,0.0,8.0,13-Dec-2013
352,2013,3051/8292,BAN,Dhaka Environmentally Sustainable Water Supply,,0.0,250.0,0.0,0.0,250.0,AFD,0.0,64.0,200.0,22-Oct-2013
353,2013,3051/8292,BAN,Dhaka Environmentally Sustainable Water Supply,,,,,,,EIB,0.0,136.0,,
354,2013,3008/3009,SRI,Education Sector Development Program,,100.0,100.0,0.0,0.0,200.0,World Bank,0.0,100.0,100.0,27-Jun-2013
361,2013,2372/0095/2988/0337,VIE,Greater Mekong Subregion: Southern Coastal Corridor - Additional Financing,,0.0,25.0,0.0,0.0,25.0,Australia,12.43,0.0,12.43,11-Feb-2013
362,2013,2835/0364,PRC,Hebei Energy Efficiency Improvement and Emission Reduction - Additional Financing,,100.0,0.0,0.0,0.0,100.0,GEF,3.65,0.0,3.65,09-Oct-2013
367,2013,3090/3091/3092,PAK,Jamshoro Power Generation,,870.0,30.0,0.0,0.0,900.0,IsDB,0.0,150.0,150.0,09-Dec-2013
368,2013,3083/8276,INO,Java-Bali 500-Kilovolt Power Transmission Crossing,,224.0,0.0,0.0,0.0,224.0,AIF,0.0,25.0,25.0,03-Dec-2013
369,2013,3000/0342/8269,NEP,Kathmandu Valley Wastewater Management,,0.0,80.0,0.0,0.0,80.0,OFID,0.0,16.0,16.0,26-Apr-2013
370,2013,0374/0375,AFG,North-South Power Transmission Enhancement,,0.0,0.0,99.0,0.0,99.0,AITF,117.0,0.0,117.0,25-Nov-2013
373,2013,0347/0348/0444/0445/0446,TON,Outer Island Renewable Energy,,0.0,0.0,2.0,0.0,2.0,Australia,4.5,0.0,4.5,27-Jun-2013
375,2013,2928/0343,INO,Polytechnic Education Development,,75.0,0.0,0.0,0.0,75.0,CIDA,4.95,0.0,4.95,12-Apr-2013
378,2013,2920/8273,VIE,Public-Private Partnership Support - Additional Cofinancing,,0.0,20.0,0.0,0.0,20.0,AFD,0.0,10.0,10.0,23-Aug-2013
380,2013,3052/8275,IND,Rajasthan Renewable Energy Transmission Investment Program - Tranche 1,,62.0,0.0,0.0,0.0,62.0,CTF,0.0,88.0,88.0,22-Oct-2013
381,2013,0370/0371/0373,SAM,Renewable Energy Development and Power Sector Rehabilitation,APDRF,0.0,0.0,10.0,8.21,18.21,CEF-CEFPF,1.0,0.0,1.0,15-Nov-2013
383,2013,3089/8277/8278,INO,Sarulla Geothermal Power Development,,250.0,0.0,0.0,0.0,250.0,CEFPF-CCFPSA,0.0,20.0,100.0,05-Dec-2013
384,2013,3089/8277/8278,INO,Sarulla Geothermal Power Development,,,,,,,CTF,0.0,80.0,,
385,2013,3045/3046,BAN,Second Public-Private Infrastructure Development Facility,,100.0,10.0,0.0,0.0,110.0,JICA,0.0,96.0,195.5,17-Oct-2013
386,2013,3045/3046,BAN,Second Public-Private Infrastructure Development Facility,,,,,,,World Bank,0.0,99.5,,
389,2013,2990/2991,NEP,Tanahu Hydropower,,0.0,150.0,0.0,0.0,150.0,ADFD,0.0,30.0,284.0,21-Feb-2013
390,2013,2990/2991,NEP,Tanahu Hydropower,,,,,,,EIB,0.0,70.0,,
391,2013,2990/2991,NEP,Tanahu Hydropower,,,,,,,JICA,0.0,184.0,,
393,2013,3098/3099/0380,MON,Ulaanbaatar Urban Services and Ger Areas Development Investment Program — Tranche 1,,27.5,22.5,0.0,0.0,50.0,EIB,0.0,28.38,32.08,12-Dec-2013
394,2013,3098/3099/0380,MON,Ulaanbaatar Urban Services and Ger Areas Development Investment Program — Tranche 1,,,,,,,UFPF-UEIF,3.7,0.0,,
395,2013,3041/0363,LAO,Water Supply and Sanitation Sector,,0.0,35.0,0.0,0.0,35.0,Phu Bia Mining Limited,6.0,0.0,6.0,09-Oct-2013
397,2014,3130/7407/8281,GEO,Adjaristsqali Hydropower,,75.0,0.0,0.0,0.0,75.0,CEFPF-CCFPSA,0.0,15.0,15.0,19-May-2014
399,2014,3133/0394/0395/8284,BAN,Coastal Towns Environmental Infrastructure,,0.0,52.0,0.0,0.0,52.0,SCF-PPCR,10.4,30.0,42.0,27-Jun-2014
400,2014,3133/0394/0395/8284,BAN,Coastal Towns Environmental Infrastructure,,,,,,,WFPF-SFPTF,1.6,0.0,,
403,2014,3124/8288,NEP,Community-Managed Irrigated Agriculture Sector – Additional Financing,,0.0,30.0,0.0,0.0,30.0,OFID,0.0,30.0,30.0,25-Nov-2014
404,2014,0389/0390,TON,Cyclone Ian Recovery,,0.0,0.0,4.52,0.0,4.52,New Zealand,4.27,0.0,4.27,16-May-2014
405,2014,0127/0292/0293,SOL,Domestic Maritime Support (Sector) (Supplementary),,0.0,0.0,0.0,0.0,0.0,New Zealand,2.5,0.0,2.5,17-Jun-2014
406,2014,0414/0424/0443,NAU,Electricity Supply Security and Sustainability,,0.0,0.0,2.0,0.0,2.0,EC,2.7,0.0,2.7,07-Nov-2014
407,2014,9135/0277/0382/0406,NEP,Establishing Women and Children Service Centers – Additional Financing,,0.0,0.0,0.0,0.0,0.0,DFID,3.2,0.0,3.5,25-Mar-2014
408,2014,9135/0277/0382/0406,NEP,Establishing Women and Children Service Centers – Additional Financing,,,,,,,GDCF,0.3,0.0,,
409,2014,3138/0396,BAN,Flood and Riverbank Erosion Risk Management Investment Program – Project 1,,0.0,65.0,0.0,0.0,65.0,Netherlands,15.3,0.0,15.3,03-Jul-2014
410,2014,2852/3125/0285,CAM,Flood Damage Emergency Reconstruction – Additional Financing,,0.0,75.0,0.0,0.0,75.0,Australia,6.68,0.0,6.68,11-Apr-2014
411,2014,3029/3030/8282,SRI,Greater Colombo Water and Wastewater Management Improvement Investment Program – Tranche 2,,70.0,18.0,0.0,0.0,88.0,AFD,0.0,70.0,70.0,09-Jun-2014
412,2014,3146/3147/0084/8290,SRI,Green Power Development and Energy Efficiency Improvement Investment Program – Tranche 1,,121.0,29.0,0.0,0.0,150.0,AFD,0.0,30.0,30.0,29-Jul-2014
413,2014,3161/8286,VIE,Ha Noi and Ho Chi Minh City Power Grid Development Sector,,172.7,0.0,0.0,0.0,172.7,AIF,0.0,100.0,100.0,23-Sep-2014
414,2014,3227/3228,VIE,Improving Competitiveness Program,,140.0,90.0,0.0,0.0,230.0,JICA,0.0,150.0,400.0,28-Nov-2014
415,2014,3227/3228,VIE,Improving Competitiveness Program,,,,,,,World Bank,0.0,250.0,,
416,2014,3090/3091/3092,PAK,Jamshoro Power Generation (Supplementary),,0.0,0.0,0.0,0.0,0.0,IsDB,0.0,70.0,70.0,27-Feb-2014
417,2014,2915/0388,PRC,Jiangxi Fuzhou Urban Integrated Infrastructure Improvement – Additional Financing,,100.0,0.0,0.0,0.0,100.0,GEF,2.55,0.0,2.55,14-May-2014
418,2014,3216/0420,PRC,Jiangxi Ji'an Sustainable Urban Transport,,120.0,0.0,0.0,0.0,120.0,GEF,2.55,0.0,2.55,09-Dec-2014
420,2014,3148/0399,IND,Karnataka Integrated Urban Water Management Investment Program – Tranche 1,,75.0,0.0,0.0,0.0,75.0,UFPF-UEIF,1.8,0.0,1.8,29-Jul-2014
423,2014,3123/8280,INO,Metropolitan Sanitation Management Investment,,80.0,0.0,0.0,0.0,80.0,AIF,0.0,40.0,88.83,31-Mar-2014
424,2014,3123/8280,INO,Metropolitan Sanitation Management Investment,,,,,,,Australia,48.83,0.0,,
425,2014,0411/0412,AFG,Northern Flood-Damaged Infrastructure Emergency Rehabilitation,,0.0,0.0,40.0,0.0,40.0,AITF,16.66,0.0,16.66,16-Oct-2014
427,2014,2966/0320,BAN,Power System Expansion and Efficiency Improvement Investment Program – Tranche 1 (Supplementary),,0.0,0.0,0.0,0.0,0.0,EIB,0.0,21.0,21.0,19-Feb-2014
429,2014,0409/0410/0429,MLD,Preparing Outer Islands for Sustainable Energy Development,,0.0,0.0,38.0,0.0,38.0,EIB,0.0,50.0,72.0,29-Sep-2014
430,2014,0409/0410/0429,MLD,Preparing Outer Islands for Sustainable Energy Development,,,,,,,IsDB,0.0,10.0,,
431,2014,0409/0410/0429,MLD,Preparing Outer Islands for Sustainable Energy Development,,,,,,,SCF-SREP,12.0,0.0,,
433,2014,3182/3183/0413,IND,Rajasthan Urban Sector Development Program,,500.0,0.0,0.0,0.0,500.0,WFPF-SFPTF,2.0,0.0,2.0,24-Oct-2014
434,2014,7409/8283,INO,Rantau Dedap Geothermal Development (Phase 1),,0.0,0.0,0.0,0.0,0.0,CTF,0.0,50.0,50.0,26-Jun-2014
435,2014,2517/0384,VIE,Renewable Energy Development and Network Expansion and Rehabilitation for Remote Communes Sector – Additional Financing,,0.0,151.0,0.0,0.0,151.0,CEF-CEFPF,3.0,0.0,3.0,09-Apr-2014
436,2014,3193/0415,COO,Renewable Energy Sector,,11.19,0.0,0.0,0.0,11.19,EC,7.26,0.0,7.26,21-Nov-2014
437,2014,3020/3021/0404,TIM,Road Network Upgrading Sector – Additional Financing,,40.0,10.0,0.0,0.0,50.0,GEF-LDCF,4.5,0.0,4.5,11-Sep-2014
438,2014,3151/401/402/466/467/8299/8300,,Rural Roads Improvement II,,0.0,54.0,0.0,0.0,54.0,Australia,6.67,0.0,53.07,08-Aug-2014
439,2014,3151/401/402/466/467/8299/8300,,Rural Roads Improvement II,,,,,,,KEXIM,0.0,41.0,,
440,2014,3151/401/402/466/467/8299/8300,,Rural Roads Improvement II,,,,,,,NDF,5.4,0.0,,
441,2014,3131/0391,BAN,Skills for Employment Investment Program – Tranche 1,,0.0,100.0,0.0,0.0,100.0,SDC,10.0,0.0,10.0,03-Jun-2014
442,2014,3119/3120,SRI,Skills Sector Enhancement Program,,50.0,50.0,0.0,0.0,100.0,GIZ,15.4,0.0,141.4,28-Mar-2014
443,2014,3119/3120,SRI,Skills Sector Enhancement Program,,,,,,,KEXIM,0.0,26.0,,
444,2014,3119/3120,SRI,Skills Sector Enhancement Program,,,,,,,World Bank,0.0,100.0,,
445,2014,3139/0397/0398,NEP,South Asia  Subregional Economic Cooperation Power System Expansion,,0.0,180.0,0.0,0.0,180.0,EIB,0.0,120.0,191.2,04-Jul-2014
446,2014,3139/0397/0398,NEP,South Asia  Subregional Economic Cooperation Power System Expansion,,,,,,,Norway,60.0,0.0,,
447,2014,3139/0397/0398,NEP,South Asia  Subregional Economic Cooperation Power System Expansion,,,,,,,SCF-SREP,11.2,0.0,,
448,2014,3169/3170,BAN,South Asia Subregional Economic Cooperation Railway Connectivity: Akhaura-Laksam Double Track,,400.0,105.0,0.0,0.0,505.0,EIB,0.0,175.0,175.0,30-Sep-2014
449,2014,3117/0383,NEP,South Asia Tourism Infrastructure Development – Additional Financing,,0.0,30.0,0.0,0.0,30.0,ACEF,3.0,0.0,3.0,28-Mar-2014
450,2014,2795/0263/0387,KIR,South Tarawa Sanitation Improvement Sector – Additional Financing,,0.0,0.0,0.0,0.0,0.0,MDTF-WFPF,0.61,0.0,0.61,14-May-2014
451,2014,3158/8287,REG,Spice Value Chain Development Project,,16.5,0.0,0.0,0.0,16.5,SCF-PPCR,0.0,5.0,5.0,04-Sep-2014
455,2014,3235/8291,VIE,Strengthening Sustainable Urban Transport for Ha Noi Metro Line 3,,0.0,4.2,0.0,0.0,4.2,CTF,0.0,48.95,48.95,12-Dec-2014
456,2014,3219/7435/8289,THA,Subyai Wind Power,,53.0,0.0,0.0,0.0,53.0,CTF,0.0,30.0,30.0,04-Dec-2014
459,2014,3113/8279,VIE,Sustainable Urban Transport for Ho Chi Minh City Mass Rapid Transit Line 2,,0.0,10.0,0.0,0.0,10.0,CTF,0.0,48.95,48.95,20-Feb-2014
461,2014,2990/2991,NEP,Tanahu Hydropower,,0.0,0.0,0.0,0.0,0.0,EIB,0.0,15.0,15.0,18-Jul-2014
462,2014,3157/0405,NEP,Third Small Towns Water Supply and Sanitation Sector,,0.0,60.0,0.0,0.0,60.0,OFID,0.0,20.0,21.3,19-Sep-2014
463,2014,3157/0405,NEP,Third Small Towns Water Supply and Sanitation Sector,,,,,,,WFPF-SFPTF,1.3,0.0,,
464,2014,3142/8285,BAN,Third Urban Governance and Infrastructure Improvement (Sector),,0.0,125.0,0.0,0.0,125.0,OFID,0.0,40.0,40.0,17-Jul-2014
465,2014,3212/0419,KGZ,Toktogul Rehabilitation Phase 2,,0.0,65.5,44.5,0.0,110.0,EDB,0.0,100.0,100.0,02-Dec-2014
466,2014,0422/0423,AFG,Transport Network Development Investment Program – Tranche 4,,0.0,0.0,0.0,0.0,0.0,EC,21.0,0.0,21.0,15-Dec-2014
468,2015,0126/0437,AFG,Agriculture Market Infrastructure—Additional Financing,,0.0,0.0,0.0,0.0,0.0,AITF,11.0,0.0,11.0,25-Sep-2015
470,2015,2783/2784,PNG,Bridge Replacement for Improved Rural Access Sector,,40.0,50.0,0.0,0.0,90.0,EIB,0.0,50.0,50.0,24-Aug-2015
474,2015,3124/8288,NEP,Community-Managed Irrigated Agriculture Sector—Additional Financing,,0.0,30.0,0.0,0.0,30.0,Kuwait Fund,0.0,17.0,17.0,05-May-2015
475,2015,3331/3332/0459/0460/0461,VAN,Cyclone Pam Road Reconstruction Project,,0.0,2.8,9.81,0.0,12.61,GEF-LDCF,2.68,0.0,2.68,25-Nov-2015
478,2015,0127/0292/0293,SOL,Domestic Maritime Support (Sector)–Additional Cofinancing,,0.0,0.0,0.0,0.0,0.0,New Zealand,0.29,0.0,0.29,28-Apr-2015
479,2015,0438/0439,RMI,Ebeye Water Supply and Sanitation,,0.0,0.0,5.0,0.0,5.0,Australia,4.0,0.0,4.0,28-Sep-2015
481,2015,3339/8297,INO,Electricity Grid Strengthening—Sumatra Program,,575.0,0.0,0.0,0.0,575.0,AIF,0.0,25.0,525.0,02-Dec-2015
482,2015,3339/8297,INO,Electricity Grid Strengthening—Sumatra Program,,,,,,,World Bank,0.0,500.0,,
483,2015,0414/0424/0443,NAU,Electricity Supply Security and Sustainability—Additional Financing,,0.0,0.0,0.0,0.0,0.0,Australia,4.74,0.0,4.74,16-Oct-2015
484,2015,0464/0465,AFG,Energy Supply Improvement Program—Tranche 1,,0.0,200.0,0.0,0.0,200.0,AITF,75.0,0.0,75.0,08-Dec-2015
485,2015,3348/3349,SRI,Greater Colombo Water and Wastewater Management Improvement Investment Program—Tranche 3,,123.0,5.0,0.0,0.0,128.0,EIB,0.0,50.0,50.0,08-Dec-2015
488,2015,3310/8294,MYA,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement,,0.0,0.0,0.0,0.0,0.0,AIF,0.0,20.0,20.0,10-Nov-2015
490,2015,3363/3364/8302,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)—Additional Financing,,59.0,5.8,0.0,0.0,64.8,AFD,0.0,75.9,296.4,10-Dec-2015
491,2015,3363/3364/8302,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)—Additional Financing,,,,,,,CTF,0.0,50.0,,
492,2015,3363/3364/8302,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)—Additional Financing,,,,,,,DGT,0.0,93.5,,
493,2015,3363/3364/8302,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)—Additional Financing,,,,,,,EIB,0.0,77.0,,
494,2015,3279/3280,LAO,Health Sector Governance Program,,0.0,23.0,0.0,0.0,23.0,World Bank,13.2,13.2,26.4,18-Sep-2015
498,2015,3311/0454/8295,CAM,Integrated Urban Environmental Management in the Tonle Sap Basin,,0.0,37.0,0.0,0.0,37.0,SCF-PPCR,5.0,5.0,10.0,10-Nov-2015
499,2015,2820/3249/0273/0427,VAN,Interisland Shipping Support—Additional Financing,,0.0,18.48,0.0,0.0,18.48,New Zealand,4.65,0.0,4.65,27-Feb-2015
500,2015,3083/8276,INO,Java-Bali 500-Kilovolt Power Transmission Crossing—Additional Cofinancing,,0.0,0.0,0.0,0.0,0.0,KfW,0.0,57.0,57.0,28-Oct-2015
501,2015,3316/0455,MYA,Mandalay Urban Services Improvement,,0.0,60.0,0.0,0.0,60.0,AFD,0.0,46.0,56.8,12-Nov-2015
502,2015,3316/0455,MYA,Mandalay Urban Services Improvement,,,,,,,AsIF,6.8,0.0,,
503,2015,3316/0455,MYA,Mandalay Urban Services Improvement,,,,,,,UCCRTF,4.0,0.0,,
504,2015,2979/8264/0468,CAM,Medium-Voltage Sub-Transmission Expansion Sector— Additional Financing,,0.0,0.0,0.0,0.0,0.0,CEF-CEFPF,1.0,0.0,1.0,09-Dec-2015
505,2015,2686/0226/0425,PNG,Microfinance Expansion — Additional Financing,,0.0,0.0,0.0,0.0,0.0,Australia,2.85,0.0,2.85,09-Feb-2015
506,2015,3134/0451,PAK,National Highway Network Development in Balochistan,,122.6,0.0,0.0,0.0,122.6,DFID,72.4,0.0,72.4,03-Nov-2015
507,2015,3300/0440,PAK,National Motorway M-4 Gojra–Shorkot Section,,178.0,0.0,0.0,0.0,178.0,DFID,92.0,0.0,92.0,30-Sep-2015
508,2015,3121/0434,PAK,National Trade Corridor Highway Investment Program—Tranche 2,,117.6,0.0,0.0,0.0,117.6,DFID,82.4,0.0,82.4,31-Jul-2015
509,2015,3197/0435,PAK,National Trade Corridor Highway Investment Program—Tranche 3,,87.8,0.0,0.0,0.0,87.8,DFID,39.2,0.0,39.2,31-Jul-2015
510,2015,3346/3347,PAL,North Pacific Regional Connectivity Investment Project—Additional Financing,,16.47,8.53,0.0,0.0,25.0,World Bank,0.0,22.5,22.5,11-Dec-2015
511,2015,3366/8301,THA,Northeastern Thailand Wind Power,,0.0,0.0,0.0,0.0,0.0,CTF,0.0,18.9,18.9,08-Dec-2015
514,2015,0347/0348/0444/0445/0446,TON,Outer Island Renewable Energy—Additional Financing,,0.0,0.0,1.44,0.0,1.44,Denmark-Energy 2,0.75,0.0,4.32,20-Oct-2015
515,2015,0347/0348/0444/0445/0446,TON,Outer Island Renewable Energy—Additional Financing,,,,,,,EC,3.57,0.0,,
518,2015,0409/0410/0429,MLD,Preparing Outer Islands for Sustainable Energy Development—Additional Financing,,0.0,0.0,38.0,0.0,38.0,JFJCM,5.0,0.0,5.0,19-Mar-2015
519,2015,0456/0457,SAM,Renewable Energy Development and Power Sector Rehabilitation—Additional Financing,,0.0,0.0,0.0,0.0,0.0,EC,5.06,0.0,7.55,18-Nov-2015
520,2015,0456/0457,SAM,Renewable Energy Development and Power Sector Rehabilitation—Additional Financing,,,,,,,New Zealand,2.49,0.0,,
521,2015,3020/3021/0404,TIM,Road Network Upgrading,,0.0,0.0,0.0,0.0,0.0,EIB,0.0,50.0,50.0,20-Nov-2015
525,2015,3151/401-2/466-7/8299-300,CAM,Rural Roads Improvement II—Additional Financing,,0.0,0.0,0.0,0.0,0.0,AFD,0.0,40.0,67.85,08-Dec-2015
526,2015,3151/401-2/466-7/8299-300,CAM,Rural Roads Improvement II—Additional Financing,,,,,,,Australia,11.85,0.0,,
527,2015,3151/401-2/466-7/8299-300,CAM,Rural Roads Improvement II—Additional Financing,,,,,,,SCF-PPCR,9.0,7.0,,
530,2015,3315/8296,LAO,Second Greater Mekong Subregion Corridors Towns Development,,0.0,37.0,0.0,0.0,37.0,AIF,0.0,10.0,10.0,13-Nov-2015
531,2015,2699/0231/0448,CAM,Second Greater Mekong Subregion Regional Communicable Diseases Control—Additional Financing,,0.0,27.0,10.0,0.0,37.0,HFPF-RMTF,4.0,0.0,4.0,26-Oct-2015
532,2015,2699/0232/0449,LAO,Second Greater Mekong Subregion Regional Communicable Diseases Control—Additional Financing,,0.0,0.0,12.0,0.0,12.0,HFPF-RMTF,3.0,0.0,3.0,26-Oct-2015
533,2015,2699/0450,VIE,Second Greater Mekong Subregion Regional Communicable Diseases Control—Additional Financing,,0.0,0.0,0.0,0.0,0.0,HFPF-RMTF,2.5,0.0,2.5,26-Oct-2015
534,2015,3225/3226,BHU,Second Green Power Development,,70.0,25.25,25.25,0.0,120.5,Indian Commercial Bank,0.0,58.82,58.82,01-Nov-2015
537,2015,2200/0036/3302/0441,BAN,Southwest Area Integrated Water Resources Planning and Management—Additional Financing,,0.0,45.0,0.0,0.0,45.0,Netherlands,7.0,0.0,7.0,30-Sep-2015
541,2015,3309/0452/0453,TAJ,Strengthening Technical and Vocational Education and Training,,0.0,15.0,15.0,0.0,30.0,CEF-CEFPF,2.0,0.0,2.0,09-Nov-2015
542,2015,3303/8293,INO,Sustainable and Inclusive Energy Program (Subprogram 1),,400.0,0.0,0.0,0.0,400.0,AFD,0.0,150.0,950.0,30-Sep-2015
543,2015,3303/8293,INO,Sustainable and Inclusive Energy Program (Subprogram 1),,,,,,,AIF,0.0,100.0,,
544,2015,3303/8293,INO,Sustainable and Inclusive Energy Program (Subprogram 1),,,,,,,KfW,0.0,200.0,,
545,2015,3303/8293,INO,Sustainable and Inclusive Energy Program (Subprogram 1),,,,,,,World Bank,0.0,500.0,,
546,2015,3321/3322,PAK,Sustainable Energy Sector Reform Program—Tranche 2,,100.0,300.0,0.0,0.0,400.0,World Bank,0.0,500.0,500.0,20-Nov-2015
555,2015,3340/0462,VIE,Urban Environment and Climate Change Adaptation,,100.0,0.0,0.0,0.0,100.0,UCCRTF,4.0,0.0,4.0,27-Nov-2015
556,2015,3250/0471,LAO,Vientiane Sustainable Urban Transport,,0.0,35.0,0.0,0.0,35.0,AsIF,6.9,0.0,43.74,10-Mar-2015
557,2015,3250/0471,LAO,Vientiane Sustainable Urban Transport,,,,,,,EIB,0.0,20.0,,
558,2015,3250/0471,LAO,Vientiane Sustainable Urban Transport,,,,,,,GEF,1.84,0.0,,
559,2015,3250/0471,LAO,Vientiane Sustainable Urban Transport,,,,,,,OFID,0.0,15.0,,
