partner,year,approval_numbers_cofin,approval_number,proj_no,loan_grant_title
SCF-SREP,2014,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy Development
SCF-SREP,2014,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy Development
SCF-SREP,2014,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy Development
SCF-SREP,2014,3139/0397/0398,3139,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
SCF-SREP,2014,3139/0397/0398,0397,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
SCF-SREP,2014,3139/0397/0398,0398,44219-014,South Asia  Subregional Economic Cooperation Power System Expansion
"P.R.C.,SpDB",2014,3218,3218,47052-002,Low-Carbon District Heating Project in Hohhot in Inner Mongolia Autonomous Region
Switzerland,2014,3131/0391,3131,42466-015,Skills for Employment Investment Program ﾖ Tranche 1
Switzerland,2014,3131/0391,0391,42466-015,Skills for Employment Investment Program ﾖ Tranche 1
UFPF-UEIF,2014,3148/0399,3148,43253-025,Karnataka Integrated Urban Water Management Investment Program ﾖ Tranche 1
UFPF-UEIF,2014,3148/0399,0399,43253-025,Karnataka Integrated Urban Water Management Investment Program ﾖ Tranche 1
"Uzbekistan,UFRD",2014,3141,3141,45306-001,Takhiatash Power Plant Efficiency Improvement
"U.K.,United Kingdom",2014,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
"U.K.,United Kingdom",2014,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
"U.K.,United Kingdom",2014,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
"U.K.,United Kingdom",2014,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
"Uzbekistan,UFRD",2014,3141,3141,45306-001,Takhiatash Power Plant Efficiency Improvement
"U.K.,United Kingdom",2014,9135/0277/0382/0406,9135,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
"U.K.,United Kingdom",2014,9135/0277/0382/0406,0277,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
"U.K.,United Kingdom",2014,9135/0277/0382/0406,0382,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
"U.K.,United Kingdom",2014,9135/0277/0382/0406,0406,38097-013,Establishing Women and Children Service Centers ﾖ Additional Financing
WFPF-SFPTF,2014,3133/0394/0395/8284,3133,44212-013,Coastal Towns Environmental Infrastructure
WFPF-SFPTF,2014,3133/0394/0395/8284,0394,44212-013,Coastal Towns Environmental Infrastructure
WFPF-SFPTF,2014,3133/0394/0395/8284,0395,44212-013,Coastal Towns Environmental Infrastructure
WFPF-SFPTF,2014,3133/0394/0395/8284,8284,44212-013,Coastal Towns Environmental Infrastructure
WFPF-SFPTF,2014,3157/0405/8304,3157,35173-013,Third Small Towns Water Supply and Sanitation Sector
WFPF-SFPTF,2014,3157/0405/8304,0405,35173-013,Third Small Towns Water Supply and Sanitation Sector
WFPF-SFPTF,2014,3157/0405/8304,8304,35173-013,Third Small Towns Water Supply and Sanitation Sector
WFPF-SFPTF,2014,3182/3183/0413,3182,42267-026,Rajasthan Urban Sector Development Program
WFPF-SFPTF,2014,3182/3183/0413,3183,42267-026,Rajasthan Urban Sector Development Program
WFPF-SFPTF,2014,3182/3183/0413,0413,42267-026,Rajasthan Urban Sector Development Program
World Bank,2014,416,0416,47314-001,Strengthening Fiscal Stability Program
World Bank,2014,3100,3100,46420-002,KALAHI-CIDSS National Community-Driven Development 
World Bank,2014,3119/3120,3119,42251-018,Skills Sector Enhancement Program
World Bank,2014,3119/3120,3120,42251-018,Skills Sector Enhancement Program
World Bank,2014,3126,3126,47015-001,Sustainable Energy Sector Reform Program ﾖ Subprogram 1
World Bank,2014,3227/3228,3227,47293-001,Improving Competitiveness Program
World Bank,2014,3227/3228,3228,47293-001,Improving Competitiveness Program
"France,AFD",2015,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
"France,AFD",2015,3316/0455,3316,47127-002,Mandalay Urban Services Improvement
"France,AFD",2015,3316/0455,0455,47127-002,Mandalay Urban Services Improvement
"France,AFD",2015,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
"France,AFD",2015,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
"France,AFD",2015,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
AIF,2015,3303/8293,3303,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
AIF,2015,3303/8293,8293,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
AIF,2015,3310/8294,3310,46422-003,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement
AIF,2015,3310/8294,8294,46422-003,Greater Mekong Subregion East-West Economic Corridor Eindu to Kawkareik Road Improvement
AIF,2015,3315/8296,3315,46443-003,Second Greater Mekong Subregion Corridors Towns Development
AIF,2015,3315/8296,8296,46443-003,Second Greater Mekong Subregion Corridors Towns Development
AIF,2015,3339/8297,3339,49080-001,Electricity Grid StrengtheningﾗSumatra Program
AIF,2015,3339/8297,8297,49080-001,Electricity Grid StrengtheningﾗSumatra Program
AITF,2015,0126/0437,0126,39370-023,Agriculture Market InfrastructureﾗAdditional Financing
AITF,2015,0126/0437,0437,39370-023,Agriculture Market InfrastructureﾗAdditional Financing
AITF,2015,0464/0465,0464,47282-003,Energy Supply Improvement ProgramﾗTranche 1
AITF,2015,0464/0465,0465,47282-003,Energy Supply Improvement ProgramﾗTranche 1
AsIF,2015,3250/0471/8303,3250,45041-002,Vientiane Sustainable Urban Transport
AsIF,2015,3250/0471/8303,0471,45041-002,Vientiane Sustainable Urban Transport
AsIF,2015,3250/0471/8303,8303,45041-002,Vientiane Sustainable Urban Transport
AsIF,2015,3316/0455,3316,47127-002,Mandalay Urban Services Improvement
AsIF,2015,3316/0455,0455,47127-002,Mandalay Urban Services Improvement
Australia,2015,0414/0424/0443,0414,46455-004,Electricity Supply Security and SustainabilityﾗAdditional Financing
Australia,2015,0414/0424/0443,0424,46455-004,Electricity Supply Security and SustainabilityﾗAdditional Financing
Australia,2015,0414/0424/0443,0443,46455-004,Electricity Supply Security and SustainabilityﾗAdditional Financing
Australia,2015,0438/0439,0438,46346-002,Ebeye Water Supply and Sanitation
Australia,2015,0438/0439,0439,46346-002,Ebeye Water Supply and Sanitation
Australia,2015,442,0442,47318-001,Strengthened Fiscal Sustainability Program
"Australia,Australia",2015,336,0336,45303-001,Rural EnergyﾗAdditional Financing
"Australia,Australia",2015,458,0458,47320-001,Samoa Submarine Cable
"Australia,Australia",2015,2686/0226/0425,2686,44304-014,Microfinance Expansion ﾗ Additional Financing
"Australia,Australia",2015,2686/0226/0425,0226,44304-014,Microfinance Expansion ﾗ Additional Financing
"Australia,Australia",2015,2686/0226/0425,0425,44304-014,Microfinance Expansion ﾗ Additional Financing
"Australia,Australia",2015,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
CEF-CEFPF,2015,2979/8264/0468,2979,42361-014,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing
CEF-CEFPF,2015,2979/8264/0468,8264,42361-014,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing
CEF-CEFPF,2015,2979/8264/0468,0468,42361-014,Medium-Voltage Sub-Transmission Expansion Sectorﾗ Additional Financing
CEF-CEFPF,2015,3309/0452/0453,3309,46535-001,Strengthening Technical and Vocational Education and Training
CEF-CEFPF,2015,3309/0452/0453,0452,46535-001,Strengthening Technical and Vocational Education and Training
CEF-CEFPF,2015,3309/0452/0453,0453,46535-001,Strengthening Technical and Vocational Education and Training
CTF,2015,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
CTF,2015,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
CTF,2015,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
CTF,2015,3366/8301,3366,49263-001,Northeastern Thailand Wind Power
CTF,2015,3366/8301,8301,49263-001,Northeastern Thailand Wind Power
CTF,2015,8298,8298,49238-001,Off-Grid Prepaid Solar Leasing
Denmark,2015,0347/0348/0444/0445/0446,0347,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
Denmark,2015,0347/0348/0444/0445/0446,0348,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
Denmark,2015,0347/0348/0444/0445/0446,0444,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
Denmark,2015,0347/0348/0444/0445/0446,0445,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
Denmark,2015,0347/0348/0444/0445/0446,0446,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
"U.K.,DFID",2015,3134/0451,3134,47281-001,National Highway Network Development in Balochistan
"U.K.,DFID",2015,3134/0451,0451,47281-001,National Highway Network Development in Balochistan
"France,DGT",2015,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
"France,DGT",2015,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
"France,DGT",2015,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
EC,2015,0347/0348/0444/0445/0446,0347,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
EC,2015,0347/0348/0444/0445/0446,0348,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
EC,2015,0347/0348/0444/0445/0446,0444,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
EC,2015,0347/0348/0444/0445/0446,0445,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
EC,2015,0347/0348/0444/0445/0446,0446,43452-023,Outer Island Renewable EnergyﾗAdditional Financing
EC,2015,0456/0457,0456,46044-003,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing
EC,2015,0456/0457,0457,46044-003,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing
EC,2015,3256,3256,42122-013,Third Primary Education DevelopmentﾗAdditional Financing
EDB,2015,2993,2993,42145-043,North-South Road Corridor Investment ProgramﾗTranche 3 ﾖ Additional Cofinancing
EIB,2015,2783/2784,2783,43200-024,Bridge Replacement for Improved Rural Access Sector
EIB,2015,2783/2784,2784,43200-024,Bridge Replacement for Improved Rural Access Sector
EIB,2015,3250/0471/8303,3250,45041-002,Vientiane Sustainable Urban Transport
EIB,2015,3250/0471/8303,0471,45041-002,Vientiane Sustainable Urban Transport
EIB,2015,3250/0471/8303,8303,45041-002,Vientiane Sustainable Urban Transport
EIB,2015,3348/3349,3348,45148-008,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3
EIB,2015,3348/3349,3349,45148-008,Greater Colombo Water and Wastewater Management Improvement Investment ProgramﾗTranche 3
EIB,2015,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
EIB,2015,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
EIB,2015,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
France,2015,3303/8293,3303,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
France,2015,3303/8293,8293,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
"France,AFD",2015,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
"France,AFD",2015,3316/0455,3316,47127-002,Mandalay Urban Services Improvement
"France,AFD",2015,3316/0455,0455,47127-002,Mandalay Urban Services Improvement
"France,AFD",2015,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
"France,AFD",2015,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
"France,AFD",2015,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
"France,DGT",2015,3363/3364/8302,3363,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
"France,DGT",2015,3363/3364/8302,3364,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
"France,DGT",2015,3363/3364/8302,8302,40080-025,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing
GEF,2015,433,0433,40253-035,Greater Mekong Subregion Biodiversity Conservation CorridorsﾗAdditional Financing
GEF,2015,3250/0471/8303,3250,45041-002,Vientiane Sustainable Urban Transport
GEF,2015,3250/0471/8303,0471,45041-002,Vientiane Sustainable Urban Transport
GEF,2015,3250/0471/8303,8303,45041-002,Vientiane Sustainable Urban Transport
GEF-LDCF,2015,3331/3332/0459/0460/0461,3331,49319-001,Cyclone Pam Road Reconstruction Project
GEF-LDCF,2015,3331/3332/0459/0460/0461,3332,49319-001,Cyclone Pam Road Reconstruction Project
GEF-LDCF,2015,3331/3332/0459/0460/0461,0459,49319-001,Cyclone Pam Road Reconstruction Project
GEF-LDCF,2015,3331/3332/0459/0460/0461,0460,49319-001,Cyclone Pam Road Reconstruction Project
GEF-LDCF,2015,3331/3332/0459/0460/0461,0461,49319-001,Cyclone Pam Road Reconstruction Project
Germany,2015,3303/8293,3303,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
Germany,2015,3303/8293,8293,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
"Germany,KfW",2015,3083/8276,3083,42362-013,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing
"Germany,KfW",2015,3083/8276,8276,42362-013,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing
"Germany,KfW",2015,3356,3356,49232-001,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program
"Germany,KfW",2015,3365,3365,44426-016,Green Energy Corridor and Grid Strengthening Project
"Germany,KfW",2015,3374,3374,42039-036,Power Transmission Investment Program-Tranche 3
GPE,2015,3256,3256,42122-013,Third Primary Education DevelopmentﾗAdditional Financing
HFPF-RMTF,2015,2699/0231/0448,2699,41505-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
HFPF-RMTF,2015,2699/0231/0448,0231,41505-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
HFPF-RMTF,2015,2699/0231/0448,0448,41505-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
HFPF-RMTF,2015,2699/0232/0449,2699,41507-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
HFPF-RMTF,2015,2699/0232/0449,0232,41507-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
HFPF-RMTF,2015,2699/0232/0449,0449,41507-013,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
HFPF-RMTF,2015,2699/0450,2699,41508-014,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
HFPF-RMTF,2015,2699/0450,0450,41508-014,Second Greater Mekong Subregion Regional Communicable Diseases ControlﾗAdditional Financing
"India,Indian Commercial Bank",2015,3225/3226,3225,44444-013,Second Green Power Development
"India,Indian Commercial Bank",2015,3225/3226,3226,44444-013,Second Green Power Development
"India,Indian Commercial Bank",2015,3225/3226,3225,44444-013,Second Green Power Development
"India,Indian Commercial Bank",2015,3225/3226,3226,44444-013,Second Green Power Development
IsDB,2015,3271,3271,44318-026,Housing for Integrated Rural Development Investment ProgramﾗTranche 3
IsDB,2015,3350,3350,42378-017,Power System Expansion and Efficiency Improvement Investment ProgramﾗTranche 3
Japan,2015,3186,3186,46268-002,Clean Energy Finance Investment ProgramﾗTranche 1 
Japan,2015,9180,9180,49202-001,Disaster Risk Reduction and Livelihood Restoration for Earthquake-Affected Communities
"Japan,JFJCM",2015,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
"Japan,JFJCM",2015,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
"Japan,JFJCM",2015,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
"Japan,JFPR",2015,9181,9181,49320-001,Cycone Pam School Reconstruction
"Japan,JFPR",2015,9182,9182,49168-001,Improving School Dormitory Environment for Primary Students in Western Region
"Japan,JFPR",2015,9183,9183,48216-001,Integrated Livelihoods Improvement and Sustainable Tourism in Khuvsgul Lake National Park
"Japan,JFPR",2015,9184,9184,48322-001,Economic Empowerment of the Poor and Women in the East-West Economic Corridor Project
"Japan,JFJCM",2015,0409/0410/0429,0409,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
"Japan,JFJCM",2015,0409/0410/0429,0410,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
"Japan,JFJCM",2015,0409/0410/0429,0429,46122-003,Preparing Outer Islands for Sustainable Energy DevelopmentﾗAdditional Financing
"Japan,JFPR",2015,9181,9181,49320-001,Cycone Pam School Reconstruction
"Japan,JFPR",2015,9182,9182,49168-001,Improving School Dormitory Environment for Primary Students in Western Region
"Japan,JFPR",2015,9183,9183,48216-001,Integrated Livelihoods Improvement and Sustainable Tourism in Khuvsgul Lake National Park
"Japan,JFPR",2015,9184,9184,48322-001,Economic Empowerment of the Poor and Women in the East-West Economic Corridor Project
"Germany,KfW",2015,3083/8276,3083,42362-013,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing
"Germany,KfW",2015,3083/8276,8276,42362-013,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing
"Germany,KfW",2015,3356,3356,49232-001,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program
"Germany,KfW",2015,3365,3365,44426-016,Green Energy Corridor and Grid Strengthening Project
"Germany,KfW",2015,3374,3374,42039-036,Power Transmission Investment Program-Tranche 3
Korea,2015,3047,3047,44213-016,Secondary Education Sector Investment ProgramﾗTranche 1 (Supplementary)
Kuwait,2015,3124/8288,3124,33209-014,Community-Managed Irrigated Agriculture SectorﾗAdditional Financing
Kuwait,2015,3124/8288,8288,33209-014,Community-Managed Irrigated Agriculture SectorﾗAdditional Financing
"Netherlands,Netherlands",2015,2200/0036/3302/0441,2200,34418-023,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing
"Netherlands,Netherlands",2015,2200/0036/3302/0441,0036,34418-023,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing
"Netherlands,Netherlands",2015,2200/0036/3302/0441,3302,34418-023,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing
"Netherlands,Netherlands",2015,2200/0036/3302/0441,0441,34418-023,Southwest Area Integrated Water Resources Planning and ManagementﾗAdditional Financing
New Zealand,2015,0127/0292/0293,0127,40263-033,Domestic Maritime Support (Sector)ﾖAdditional Cofinancing
New Zealand,2015,0127/0292/0293,0292,40263-033,Domestic Maritime Support (Sector)ﾖAdditional Cofinancing
New Zealand,2015,0127/0292/0293,0293,40263-033,Domestic Maritime Support (Sector)ﾖAdditional Cofinancing
New Zealand,2015,442,0442,47318-001,Strengthened Fiscal Sustainability Program
New Zealand,2015,2820/3249/0273/0427,2820,42392-013,Interisland Shipping SupportﾗAdditional Financing
New Zealand,2015,2820/3249/0273/0427,3249,42392-013,Interisland Shipping SupportﾗAdditional Financing
New Zealand,2015,2820/3249/0273/0427,0273,42392-013,Interisland Shipping SupportﾗAdditional Financing
New Zealand,2015,2820/3249/0273/0427,0427,42392-013,Interisland Shipping SupportﾗAdditional Financing
"New Zealand,New Zealand",2015,0456/0457,0456,46044-003,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing
"New Zealand,New Zealand",2015,0456/0457,0457,46044-003,Renewable Energy Development and Power Sector RehabilitationﾗAdditional Financing
OFID,2015,3250/0471/8303,3250,45041-002,Vientiane Sustainable Urban Transport
OFID,2015,3250/0471/8303,0471,45041-002,Vientiane Sustainable Urban Transport
OFID,2015,3250/0471/8303,8303,45041-002,Vientiane Sustainable Urban Transport
PriF,2015,2718,2718,44281-013,Road Rehabilitation (Supplementary)
P.R.C.,2015,3308,3308,47051-002,Chemical Industry Energy Efficiency and Emission Reduction
SCF-PPCR,2015,426,0426,40253-033,Greater Mekong Subregion Biodiversity Conservation CorridorsﾗAdditional Financing
SCF-PPCR,2015,447,0447,46495-002,Building Climate Resilience to Climate Change in Papua New Guinea
SCF-PPCR,2015,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
SCF-PPCR,2015,3151/401-2/466-7/8299-300,3151,42334-014,Rural Roads Improvement IIﾗAdditional Financing
SCF-PPCR,2015,3311/0454/8295,3311,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
SCF-PPCR,2015,3311/0454/8295,0454,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
SCF-PPCR,2015,3311/0454/8295,8295,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
SCF-PPCR,2015,3311/0454/8295,3311,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
SCF-PPCR,2015,3311/0454/8295,0454,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
SCF-PPCR,2015,3311/0454/8295,8295,42285-013,Integrated Urban Environmental Management in the Tonle Sap Basin
UCCRTF,2015,3316/0455,3316,47127-002,Mandalay Urban Services Improvement
UCCRTF,2015,3316/0455,0455,47127-002,Mandalay Urban Services Improvement
UCCRTF,2015,3340/0462,3340,43237-013,Urban Environment and Climate Change Adaptation
UCCRTF,2015,3340/0462,0462,43237-013,Urban Environment and Climate Change Adaptation
UNICEF,2015,3256,3256,42122-013,Third Primary Education DevelopmentﾗAdditional Financing
Uzbekistan,2015,3286,3286,41340-015,Advanced Electricity Metering Phase 4
U.K.,2015,3121/0434,3121,40075-033,National Trade Corridor Highway Investment ProgramﾗTranche 2 
U.K.,2015,3121/0434,0434,40075-033,National Trade Corridor Highway Investment ProgramﾗTranche 2 
U.K.,2015,3197/0435,3197,40075-043,National Trade Corridor Highway Investment ProgramﾗTranche 3 
U.K.,2015,3197/0435,0435,40075-043,National Trade Corridor Highway Investment ProgramﾗTranche 3 
U.K.,2015,3300/0440,3300,48402-001,National Motorway M-4 GojraﾖShorkot Section
U.K.,2015,3300/0440,0440,48402-001,National Motorway M-4 GojraﾖShorkot Section
"U.K.,DFID",2015,3134/0451,3134,47281-001,National Highway Network Development in Balochistan
"U.K.,DFID",2015,3134/0451,0451,47281-001,National Highway Network Development in Balochistan
World Bank,2015,442,0442,47318-001,Strengthened Fiscal Sustainability Program
World Bank,2015,458,0458,47320-001,Samoa Submarine Cable
World Bank,2015,2718,2718,44281-013,Road Rehabilitation (Supplementary)
World Bank,2015,2718,2718,44281-013,Road Rehabilitation (Supplementary)
World Bank,2015,3210,3210,48141-001,Transport Infrastructure Investment Sector
World Bank,2015,3256,3256,42122-013,Third Primary Education DevelopmentﾗAdditional Financing
World Bank,2015,3279/3280,3279,47137-003,Health Sector Governance Program
World Bank,2015,3279/3280,3280,47137-003,Health Sector Governance Program
World Bank,2015,3279/3280,3279,47137-003,Health Sector Governance Program
World Bank,2015,3279/3280,3280,47137-003,Health Sector Governance Program
World Bank,2015,3303/8293,3303,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
World Bank,2015,3303/8293,8293,49043-001,Sustainable and Inclusive Energy Program (Subprogram 1)
World Bank,2015,3320,3320,44213-017,Secondary Education Sector Investment ProgramﾗTranche 2
World Bank,2015,3321/3322,3321,47015-002,Sustainable Energy Sector Reform ProgramﾗTranche 2 
World Bank,2015,3321/3322,3322,47015-002,Sustainable Energy Sector Reform ProgramﾗTranche 2 
World Bank,2015,3339/8297,3339,49080-001,Electricity Grid StrengtheningﾗSumatra Program
World Bank,2015,3339/8297,8297,49080-001,Electricity Grid StrengtheningﾗSumatra Program
"Japan,JICA",2016,3321/3322,3321,47015-002,Sustainable Energy Sector Reform Program - Subprogram 2 
"Japan,JICA",2016,3321/3322,3322,47015-002,Sustainable Energy Sector Reform Program - Subprogram 2 
"Japan,JICA",2016,3321/3322,3321,47015-002,Sustainable Energy Sector Reform Program - Subprogram 2 
"Japan,JICA",2016,3321/3322,3322,47015-002,Sustainable Energy Sector Reform Program - Subprogram 2 
,2016,3369,3369,43407-014,Social Protection Support - Additional Financing
