,Cofinancier,Country,Other Sources,Approval Year (Date of Approval ADB),Approval Year (ADB),Product Approval Number,Approval Numbers,Proj No,MFF Number,Equity Number,Country Mnemonic,Loan/Grant Title,Department,Division,Approval,OCR,ADF Loan,ADF Grant,SF ,Total,Grants,Loans,Commercial,Total CF,Type of Cofinancing,Agreement Type,Admin Arrangement,Source Classification,Source Subtype,ADB Fund Source,Sector Code,Sector,Subsector Code,Subsector,Approval Date CF,Date of Agreement Letter,Theme,Supplementary,cofinanceOfficer,Recording Date,Effectivity Date,Physical Closing Date,Financial Completion Date,statuscofinancing,Sov-NonSov,PCR Rating,Validation Rating,PPER Rating,Remarks,Publications,Anchor Product
982,DGT,France,,2011,2011,2741 (CL) -2,2741,40080-013,,,VIE,Ha Noi Metro Rail System (Line 3: Nhon-Ha Noi Station Section),SERD,SETC,03/29/2011,,,,,0.00,,325.00,,325.00,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,3711,Urban Transport,,,,,,03/29/2011,03/13/2012,,,,Sovereign,,,,,"DR 2011. para on FCA and new proj, pp 8,10.",2741
991,AFD,France,,2012,2012,2959 (CL),2959,42039-035,0066,,VIE,Power Transmission Investment Program - Tranche 2,SERD,SEEN,12/05/2012,,,,,0.00,,100.00,,100.00,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Electricity Transmission and Distribution,11/29/2012,,,No,,12/05/2012,,,,,Sovereign,,,,,,2959
1003,AFD,France,,2013,2013,3068 (CL),3068,46093-004,,,INO,"Inclusive Growth through Improved Connectivity Program, Subprogram 2",SERD,IRM,11/27/2013,,,,,0.00,,100.00,,100.00,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Transport Management and Policies,,,,No,,11/27/2013,,,,,Sovereign,,,,,,3068
1006,AFD,France,,2013,2013,3087 (CL),3087,42378-016,0073,,BAN,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2,SARD,SAEN,12/09/2013,,,,,0.00,,125.00,,125.00,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,,Electricity Transmission and Distribution,,,,No,,12/09/2013,,,,,Sovereign,,,,,,3087
1009,AFD,France,,2014,2014,3111 (CL),3111,44253-013,,,PHI,Local Government Finance and Fiscal Decentralization Reform Program ﾖ  Subprogram 1,SERD,SEPF,02/13/2014,,,,,0.00,,150.00,,150.00,DVA,FW,Collaborative,Bilateral,Loan,,3600.0,Public Sector Management,,"Public Expenditure and Fiscal Management, Decentralization",,,,No,,02/13/2014,,,,,Sovereign,,,,,,3111
1016,AFD,France,,2015,2015,3303 (CL),3303/8293,49043-001,,,,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,,,,,0.00,,150.00,,150.00,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,3215,Energy Sector Development and Institutional Reform,,,,No,,09/30/2015,,,,Approved,Sovereign,,,,,,3303
1020,AFD,"France,AFD",AFD,2015,2015,3316 (CL),3316/0455,47127-002,,,,Mandalay Urban Services Improvement,SERD,SEUW,11/12/2015,,,,,0.00,,46.00,,46.00,DVA,FW,Collaborative,Bilateral,Loan,,3800.0,Water and Other Urban Infrastructure and Services,"3814, 3817, 3821, 3812",Urban Water Supply,,,,No,,11/12/2015,,,,Approved,Sovereign,,,,,,3316
1025,AFD,"France,AFD",AFD,2015,2015,3363 (CL) -1,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0.00,,75.90,,75.90,DVA,FW,Collaborative,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3363
1026,DGT,France,,2015,2015,3363 (CL) -2,3363/3364/8302,40080-025,,,VIE,Ha Noi Metro Rail System(Line 3: Nhon-Ha Noi Station Section)ﾗAdditional Financing,SERD,SETC,12/10/2015,,,,,0.00,,93.50,,93.50,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport,,,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3363
1033,FTI,FTI,FTI,2011,2011,0272 (CG7),0272/0289,35174-082,,,NEP,School Sector Program,SARD,SAHS,11/22/2011,,,,,0.00,70.00,,,70.00,DVA,,Collaborative,Multilateral,Grant,,3100.0,Education,,,,,,No,,11/22/2011,03/26/2012,,,,Sovereign,,,,Fast Track Inititative administered by WB,,0272
1280,KfW,Germany,,2004,2004,2095 (CL),2095,34344,,,VIE,Small and Medium-Sized Enterprise Development Program (Subprogram I),SERD,SEGF,10/21/2004,,,,,0.00,,17.00,,17.00,DVA,,Collaborative,Bilateral,Loan,ADF,3500.0,Industry and Trade,,,,,,,,10/21/2004,04/06/2005,,12/11/2006,,Sovereign,Succesful,,,Procedural Arrangement between ADB & KfW was signed on 31May05 (Euro 14million). Dec09 adj. from non DVA to DVA,,2095
1290,KfW,Germany,,2006,2006,2281 (CL),2281,36343,,,IND,Rural Cooperative Credit Restructuring and Development Program,SARD,SAGF,11/23/2006,,,,,0.00,,151.80,,151.80,DVA,,Collaborative,Bilateral,Loan,OCR,3300.0,Finance,,,,,,,,11/23/2006,02/21/2007,,,,Sovereign,Less than Successful,,,"KfW has earmarked at least ﾀ140m for supporting CCS reform. Of this, ﾀ10m will be reserved for TA. KfW's cf will be provided in a parallel financing arrangement. Procedural arrangement was signed 13Mar08.  $186.02 based on Partnership Brief for Germany, not $151.80 million",,2281
1293,KfW,Germany,,2006,2006,2284 (CL),2284,38335,,,VIE,Small and Medium Enterprise Development Program - Subprogram II,SERD,SEGF,12/12/2006,,,,,0.00,,7.57,,7.57,DVA,PS,Collaborative,Bilateral,Loan,ADF,3500.0,Industry and Trade,,,,,,,,12/12/2006,06/05/2007,,03/31/2009,,Sovereign,Succesful,,,KfW is providing ﾀ 6 m ($7.57m) for Subprogram II.   PCR 21Dec09.,,2284
1315,KfW,Germany,,2011,2011,2695 (CG),2695/0323,39298-013,,,BAN,City Region Development,SARD,SAUW,10/31/2011,,,,,0.00,14.86,,,14.86,DVA,,Collaborative,Bilateral,Grant,,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,10/31/2011,09/23/2011,,,,Sovereign,,,,"Project approved in 10Nov2010, Cofinancing in 2011",,2695
1318,KfW,Germany,,2010,2010,2696 (CG),2696,40515,,,BAN,Sustainable Rural Infrastructure Improvement,SARD,SANS,11/11/2010,,,,,0.00,15.90,,,15.90,DVA,Others,Collaborative,Bilateral,Grant,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,11/11/2010,05/10/2011,,,,Sovereign,,,,KfW ero 13m grant cf parallel basis.  Collaborative grant cf.,,2696
1321,KfW,Germany,,2010,2010,2731 (CL),2731,39500,,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 1,SERD,,12/22/2010,,,,,0.00,,36.40,,36.40,DVA,PS,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,12/22/2010,12/20/2011,,,,Sovereign,,,,"KfW parallel cofinancing, not administered by ADB",,2731
1324,KfW,Germany,,2012,2012,2913 (CG),2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,,,,0.00,8.80,,,8.80,DVA,PS,Collaborative,Bilateral,Grant,,3700.0,Transport and ICT,,,,,,,,09/28/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21.",2913
1327,KfW,Germany,,2012,2012,2914 (CL),2914,41627-053,MFF0023,,IND,Himachal Pradesh Clean Energy Development Investment Program - Tranche 4,SARD,SAEN,10/02/2012,,,,,0.00,,200.00,,200.00,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,,Large Hydropower,,,,No,,10/02/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21.",2914
1330,KfW,Germany,,2012,2012,2956 (CL),2956,39500-033,0052,,VIE,Ho Chi Minh City Urban Mass Rapid Transit Line 2 Investment Program - Tranche 2,SERD,SETC,11/27/2012,,,,,0.00,,276.60,,276.60,DVA,PS,Collaborative,Bilateral,Loan,,3700.0,Transport and ICT,,Urban Transport,,,,Yes,,11/27/2012,,,,,Sovereign,,,,,"DR 2012. para in SERD section on New Initiatives, pp 25.",2956
1335,KfW,Germany,,2015,2015,3083 (CL),3083/8276,42362-013,,,INO,Java-Bali 500-Kilovolt Power Transmission CrossingﾗAdditional Cofinancing,SERD,SEEN,10/28/2015,,,,,0.00,,57.00,,57.00,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,,Yes,,10/28/2015,,,,,Sovereign,,,,,,3083
1341,KfW,Germany,,2014,2014,3164 (CL),3164,48134-001,,,INO,Stepping Up Investments for Growth Acceleration Program ﾖ Subprogram 1,SERD,SEPF,09/25/2014,,,,,0.00,,200.00,,200.00,DVA,FW,Collaborative,Bilateral,Loan,,3600.0,Public Sector Management,,Public Expenditure and Fiscal Management,,,,No,,09/25/2014,,,,,Sovereign,,,,,,3164
1344,KfW,Germany,,2015,2015,3303 (CL),3303/8293,49043-001,,,INO,Sustainable and Inclusive Energy Program (Subprogram 1),SERD,SEEN,09/30/2015,,,,,0.00,,200.00,,200.00,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,3215,Energy Sector Development and Institutional Reform,,,,No,,09/30/2015,,,,Approved,Sovereign,,,,,,3303
1346,KfW,Germany,,2015,2015,3356 (CL),3356,49232-001,,,,Beijing-Tianjin-Hebei Air Quality Improvement-Hebei Policy Reforms Program,EARD,EASS,12/10/2015,,,,,0.00,,166.65,,166.65,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,"3215, 3213, 3212, 3219",Energy Sector Development and Institutional Reform,,,,No,,12/10/2015,,,,Approved,Sovereign,,,,,,3356
1350,KfW,Germany,,2015,2015,3365 (CL),3365,44426-016,,,,Green Energy Corridor and Grid Strengthening,SARD,SAEN,12/09/2015,,,,,0.00,,625.00,,625.00,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,3211,Electricity Transmission and Distribution,,,,No,,12/09/2015,,,,Approved,Sovereign,,,,,,3365
1354,KfW,Germany,,2015,2015,3374 (CL),3374,42039-036,,,,Power Transmission Investment Program-Tranche 3,SERD,SEEN,12/18/2015,,,,,0.00,,71.00,,71.00,DVA,FW,Collaborative,Bilateral,Loan,,3200.0,Energy,,,,,,No,,12/18/2015,,,,Approved,Sovereign,,,,,,3374
1360,GPE,GPE,GPE,2015,2015,3256 (CG1),3256,42122-013,,,BAN,Third Primary Education DevelopmentﾗAdditional Financing,SARD,SAHS,05/20/2015,,,,,0.00,100.00,,,100.00,DVA,PS,Collaborative,Multilateral,Grant,,3100.0,Education,,Pre-Primary and Primary,,,,No,,05/20/2015,,,,,Sovereign,,,,,,3256
1388,IFAD,IFAD,IFAD,1982,1982,03224 (CL),0324/0612,15048,,,SRI,Kirindi Oya Irrigation and Settlement (Supp.),SARD,,12/09/1982,,,,,0.00,,6.00,,6.00,DVA,,Collaborative,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,12/09/1982,04/21/1983,,10/03/1989,,Sovereign,,,,,,0324
1409,IFAD,IFAD,IFAD,1981,1981,0526 (CL),0526,,,,SRI,Coconut Development,SARD,SAAE,09/24/1981,,,,,0.00,,8.00,,8.00,DVA,,Collaborative,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,09/24/1981,07/16/1982,,09/12/1989,,Sovereign,,,,,,0526
1412,IFAD,IFAD,IFAD,1981,1981,0548 (CL),0548,,,,PHI,Smallholder Livestock Development,SERD,,11/25/1981,,,,,0.00,,8.00,,8.00,DVA,,Collaborative,Multilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,11/25/1981,08/19/1982,,12/04/1987,,Sovereign,,,,,,0548
1415,IFAD,IFAD,IFAD,1981,1981,0560 (CL),0560,14049,,,NEP,Command Area Development,SARD,SAAE,12/15/1981,,,,,0.00,,11.10,,11.10,DVA,PS,Collaborative,Multilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,12/15/1981,08/05/1982,,05/11/1990,,Sovereign,,,,,,0560
1436,IFAD,IFAD,IFAD,1986,1986,0792 (CL),0792,18095,,,NEP,Second Aquaculture Development,SARD,AWAR,10/09/1986,,,,,0.00,,5.00,,5.00,DVA,,Collaborative,Multilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,10/09/1986,09/18/1987,,11/25/1994,,Sovereign,PS,,,,,0792
1439,IFAD,IFAD,IFAD,1986,1986,0802 (CL),0802,16115,,,PHI,Highland Agriculture Development,SERD,,11/25/1986,,,,,0.00,,4.60,,4.60,DVA,,Collaborative,Multilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,11/25/1986,06/22/1987,,05/11/1994,,Sovereign,,,,From multisector to Agriculture,,0802
1482,IFAD,IFAD,IFAD,2012,2012,2913 (CG2),2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,,,,0.00,1.00,,,1.00,DVA,PS,Collaborative,Multilateral,Grant,,3700.0,Transport and ICT,,,,,,No,,09/28/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21.",2913
1483,IFAD,IFAD,IFAD,2012,2012,2913 (CL),2913/0310/8258,45084-002,,,BAN,Coastal Climate-Resilient Infrastructure,SARD,SAER,09/28/2012,,,,,0.00,,59.00,,59.00,DVA,PS,Collaborative,Multilateral,Loan,,3700.0,Transport and ICT,,,,,,No,,09/28/2012,,,,Approved,Sovereign,,,,,"DR 2012. para in SARD section on New Joint Initiatives, pp 21.",2913
1489,IFAD,IFAD,IFAD,2014,2014,3198 (CG),3198,47300-002,,,LAO,Northern Smallholder Livestock Commercialization,SERD,SEER,11/24/2014,,,,,0.00,5.00,,,5.00,DVA,PS,Collaborative,Multilateral,Grant,,3000.0,"Agriculture, Natural Resources and Rural Development",,"Rural Market Infrastructure, Livestock, Agricultural Policy, Institutional and Capacity Development",,,,No,,11/24/2014,,,,,Sovereign,,,,,,3198
1490,IFAD,IFAD,IFAD,2014,2014,3198 (CL),3198,47300-002,,,LAO,Northern Smallholder Livestock Commercialization,SERD,SEER,11/24/2014,,,,,0.00,,5.00,,5.00,DVA,PS,Collaborative,Multilateral,Loan,,3000.0,"Agriculture, Natural Resources and Rural Development",,"Rural Market Infrastructure, Livestock, Agricultural Policy, Institutional and Capacity Development",,,,No,,11/24/2014,,,,Closed/Completed,Sovereign,,,,,,3198
1505,Export-Import Bank of India,India,,2015,2015,3225 (CL) -1,3225/3226,44444-013,,,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,,,,,0.00,,17.16,,17.16,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,3202,Large Hydropower Generation,11/01/2015,,,Yes,,11/01/2015,,,,Approved,Sovereign,,,,,,3225
1506,State Bank of India,India,,2015,2015,3225 (CL) -2,3225/3226,44444-013,,,BHU,Second Green Power Development,SARD,SAEN,11/01/2015,,,,,0.00,,41.66,,41.66,DVA,PS,Collaborative,Bilateral,Loan,,3200.0,Energy,3202,Large Hydropower Generation,11/01/2015,,,Yes,,11/01/2015,,,,Approved,Sovereign,,,,,,3225
1532,IsDB,IsDB,IsDB,2014,2014,0406 (CL2),0409/0410/0429,46122-003,,,,Preparing Outer Islands for Sustainable Energy Development,SARD,SAEN,09/29/2014,,,,,0.00,,10.00,,10.00,DVA,FW,Collaborative,Multilateral,Loan,,3200.0,Energy,"3201, 3216, 3214",Conventional Energy Generation,,,,No,,09/29/2014,,,,,Sovereign,,,,,,0409
1588,IsDB,IsDB,IsDB,2009,2009,2562 (CL1),2562,41121,M0024,,KAZ,CAREC Transport Corridor I (Zhambyl Oblast Section)[Western Europe-Western People' Republic of China International Transit Corridor] Investment Program - Tranche 2,CWRD,CWTC,10/07/2009,,,,,0.00,,170.00,,170.00,DVA,FW,Collaborative,Multilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,10/07/2009,04/13/2010,,,,Sovereign,,,,MFF 0024. PFR 2 (Jul09).,"DR 2011. para on FCA, pp 11.",2562
1591,IsDB,IsDB,IsDB,2010,2010,2701 (CL1),2701/2702,35049,,,BAN,Padma Multipurpose Bridge,SARD,SATC,11/25/2010,,,,,0.00,,140.00,,140.00,DVA,FW,Collaborative,Multilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,11/25/2010,,,,,Sovereign,,,,,"DR 2010. para on new proj of the year, pp 13. DR 2011. para on FCA, pp 11.",2701
1594,IsDB,IsDB,IsDB,2011,2011,2769 (CL),2769,37113-013,,,BAN,Power System Efficiency Improvement,SARD,SAEN,08/11/2011,,,,,0.00,,200.00,,200.00,DVA,,Collaborative,Multilateral,Loan,OCR,3200.0,Energy,,,,,,No,,08/11/2011,,,,Approved,Sovereign,,,,collaborative,"DR 2011. para on FCA, pp 10.",2769
1597,IsDB,IsDB,IsDB,2011,2011,2817 (CL),2817,38479-034,,,INO,Regional Roads Development,SERD,SETC,11/24/2011,,,,,0.00,,65.00,,65.00,DVA,,Collaborative,Multilateral,Loan,,3700.0,Transport and ICT,,,,,,No,,11/24/2011,07/03/2012,,,,Sovereign,,,,,"DR 2011. para on FCA, pp 11.",2817
1600,IsDB,IsDB,IsDB,2012,2012,2867 (CL),2867/0290,43566-013,,,MLD,"Inclusive Micro, Small, and Medium-sized Enterprise Development",SARD,SAPF,05/25/2012,,,,,0.00,,10.30,,10.30,DVA,,Collaborative,Multilateral,Loan,,3500.0,Industry and Trade,,Small and Medium Enterprise Development,,,,No,,05/25/2012,,,,,Sovereign,,,,"istisna'a loan terms, a Shari'ah (Islamic law) mode of financing widely used by Islamic banks, and its terms can be up to 20 years, including a grace period of up to 5 years",,2867
1603,IsDB,IsDB,IsDB,2012,2012,2966 (CL),2966/0320,42378-015,0073,,BAN,Power System Expansion and Efficiency Improvement Investment Program - Tranche 1,SARD,SAEN,12/12/2012,,,,,0.00,,85.00,,85.00,DVA,PS,Collaborative,Multilateral,Loan,,3200.0,Energy,,Energy Efficiency and Conservation,,,,No,,11/28/2012,,,,,Sovereign,,,,Joint collaborative,"DR 2012. para in SARD section on New Joint Initiatives, pp 20.",2966
1606,IsDB,IsDB,IsDB,2013,2013,3087 (CL),3087,42378-016,0073,,BAN,Power System Expansion and Efficiency Improvement Investment Plan - Tranche 2,SARD,SAEN,12/09/2013,,,,,0.00,,220.00,,220.00,DVA,FW,Collaborative,Multilateral,Loan,,3200.0,Energy,,Electricity Transmission and Distribution,,,,No,,12/09/2013,,,,,Sovereign,,,,,,3087
1609,IsDB,IsDB,IsDB,2013,2013,3090 (CL) -1,3090/3091/3092,47094-001,,,PAK,Jamshoro Power Generation,CWRD,CWEN,12/09/2013,,,,,0.00,,150.00,,150.00,DVA,FW,Collaborative,Multilateral,Loan,,3200.0,Energy,,Conventional Energy,,,,No,,12/09/2013,,,,,Sovereign,,,,Joint collaborative cofinancing,,3090
1612,IsDB,IsDB,IsDB,2014,2014,3090 (CL) -2,3090/3091/3092,47094-001,,,PAK,Jamshoro Power Generation (Supplementary),CWRD,CWEN,02/27/2014,,,,,0.00,,70.00,,70.00,DVA,FW,Collaborative,Multilateral,Loan,,3200.0,Energy,,Conventional Energy,,,,Yes,,02/27/2014,,,,,Sovereign,,,,Joint collaborative cofinancing,,3090
1615,IsDB,IsDB,IsDB,2015,2015,3271 (CL),3271,44318-026,,,UZB,Housing for Integrated Rural Development Investment ProgramﾗTranche 3,CWRD,CWPF,08/20/2015,,,,,0.00,,100.00,,100.00,DVA,FW,Collaborative,Multilateral,Loan,,3300.0,Finance,,Housing Finance,,,,No,,08/20/2015,,,,,Sovereign,,,,,,3271
1618,IsDB,IsDB,IsDB,2015,2015,3350 (CL),3350,42378-017,,,BAN,Power System Expansion and Efficiency Improvement Investment ProgramﾗTranche 3,SARD,SAEN,12/08/2015,,,,,0.00,,220.00,,220.00,DVA,FW,Collaborative,Multilateral,Loan,,3200.0,Energy,,,07/07/2015,,,No,,12/08/2015,,,,Approved,Sovereign,,,,,,3350
1702,JBIC (ODA),Japan,,1988,1988,0889 (CL),0889,16116,,,PHI,Forestry Sector Program,SERD,SEAE,06/28/1988,,,,,0.00,,120.00,,120.00,DVA,,Collaborative,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,06/28/1988,09/05/1988,,12/31/1993,,Sovereign,,,,PA 26Apr1989.,,0889
1705,JBIC (non-ODA),Japan,,1988,1988,0925 (CL),0925,17003,,,PAK,KESC Fifth Power (Sector),CWRD,,11/24/1988,,,,,0.00,,100.00,,100.00,DVA,,Collaborative,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,11/24/1988,02/05/1990,,03/31/1998,,Sovereign,PS,,,"ADB Admin. COLA 18-Jan-90.  Total admin fee $100,000.",,0925
1714,JBIC (non-ODA),Japan,,1989,1989,0966 (CL),0966,22265,,,INO,Tenth Road (Sector),SERD,,08/10/1989,,,,,0.00,,50.00,,50.00,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,08/10/1989,11/03/1989,,10/15/1994,,Sovereign,GS,,,COLA 30Mar1990.,,0966
1717,JBIC (ODA),Japan,,1989,1989,0972 (CL),0972,17125,,,PHI,Fisheries Sector Program,SERD,SEAE,09/26/1989,,,,,0.00,,70.00,,70.00,DVA,,Collaborative,Bilateral,Loan,OCR,3000.0,Agriculture and Natural Resources,,,,,,,,09/26/1989,11/08/1989,,12/31/1995,,Sovereign,GS,,,PA Aug91,,0972
1720,JBIC (ODA),Japan,,1989,1989,0986 (CL),0986,22229,,,PHI,Angat Water Supply Optimization,SERD,SESS,11/14/1989,,,,,0.00,,56.89,,56.89,DVA,,Collaborative,Bilateral,Loan,OCR,3800.0,Water and Other Municipal Infrastructure and Services,,,,,,,,11/14/1989,01/24/1990,,11/14/2002,,Sovereign,PS,,,Adj Dec05 from $80 to $56.892 ($56.89).  PA 21Jun90.,,0986
1723,JBIC (ODA),Japan,,1989,1989,0997 (CL),0997,22355,,,PNG,Agriculture Sector Program,PARD,POHQ,12/12/1989,,,,,0.00,,20.00,,20.00,DVA,,Collaborative,Bilateral,Loan,ADF,3000.0,Agriculture and Natural Resources,,,,,,,,12/12/1989,12/22/1989,,06/30/1992,,Sovereign,PS,,,PA draft on file.,,0997
1738,JBIC (ODA),Japan,,1990,1990,1047 (CL),1047,21176,,,PHI,Road and Road Transport Program,SERD,,11/08/1990,,,,,0.00,,100.00,,100.00,DVA,,Collaborative,Bilateral,Loan,OCR,3700.0,Transport and ICT,,,,,,,,11/08/1990,12/24/1990,,09/28/1992,,Sovereign,,,,"PCR IN 103-93, 24Jun93. PA 29May1992",,1047
1741,JBIC (ODA),Japan,,1991,1991,1081 (CL),1081,25092,,,IND,Special Assistance,SARD,,04/04/1991,,,,,0.00,,150.00,,150.00,DVA,,Collaborative,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,04/04/1991,04/18/1991,,04/23/1991,,Sovereign,,,,PA 24Jan91.,,1081
1747,JBIC (ODA),Japan,,1991,1991,1148 (CL),1148,25363,,,IND,Hydrocarbon Sector Program,SARD,,12/17/1991,,,,,0.00,,250.00,,250.00,DVA,,Collaborative,Bilateral,Loan,OCR,3200.0,Energy,,,,,,,,12/17/1991,12/20/1991,,09/18/1997,,Sovereign,PS,,,PA 28Feb93.,,1148
