,Unnamed: 0,Year,TA No,DMC,Project Name,Type of TA,Type of Cofg,Type of Agreement,Sector,Source Type,Donor Type,Coft Amt,Source,Cofr Approval,ADB Approval,with empty
0,908,2007,4381,INO,Integrated Citarum Water Resources Management Project (IWRMP),PPTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,250.00,SPA,,17-Sep-2007,True
1,909,2007,4629,PRC,Integrated Ecosys Mgt & Environmental Protection of the Baiyangdian Lake,PPTA,E,PS,Agriculture and Natural Resources,Global Fund,Multidonor,207.00,GEF,,23-Mar-2007,True
2,910,2007,4721,PRC,Shaanxi-Qinling Mountain Integrated Ecosystem Mgt ,PPTA,E,PS,Agriculture and Natural Resources,Global Fund,Multidonor,280.00,GEF,,11-Jun-2007,True
3,911,2007,4798,PNG,Demographic & Health Surveys,ADTA,E,PS,Health and Social Protection,Multilateral,Multidonor,213.52,UNICEF,,30-Aug-2007,True
4,912,2007,4819,PRC,Preparing the Energy Conservation & Resource Mgt,PPTA,E,C,Energy,Bilateral,Single Donor,320.00,Canada-Climate,,28-Sep-2007,True
5,913,2007,4862,VIE,Ho Chi Minh City Metro Rail System Project,PPTA,E,PS,Transport and ICT,Multilateral,Multidonor,200.00,PPIAF,,12-Oct-2007,True
6,914,2007,4922,PAK,Support to Governance Reforms,ADTA,E,PS,Public Sector Management,Bilateral,Single Donor,"11,500.00",UKG,,07-Mar-2007,True
7,915,2007,4933,PRC,Facility for Policy Reform & Poverty Reduction,ADTA,J,C,Multisector,Multi-Donor Trust Fund,Multidonor,65.00,PRF,,28-May-2007,True
8,916,2007,4935,PRC,Gansu Rural Clean Energy Devt Project,ADTA,E,C,Energy,Bilateral,Single Donor,800.00,Denmark-Energy 2,,01-Jun-2007,True
10,918,2007,4942,TIM,Infrastructure Project Mgt,ADTA,J,C,Multisector,Bilateral,Single Donor,"12,000.00",AUS,,21-Jun-2007,True
11,919,2007,4943,PAK,Cap Bldg for Institutions Related to Earthquake Reconstruction & Rehab,ADTA,E,C,Multisector,Special Fund,ADB,"2,000.00",PEqF,,27-Jun-2007,True
12,920,2007,4964,AFG,Support for Economic Policy Mgt,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,800.00,AUS,,04-Sep-2007,True
13,921,2007,4964,AFG,Support for Economic Policy Mgt,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,900.00,DEN,,04-Sep-2007,True
14,922,2007,4966,VIE,Capacity Bldg on Environmental Mgt of the Power Sector,ADTA,E,C,Energy,Bilateral,Single Donor,600.00,FRA-AFD GMS Fund,,10-Sep-2007,True
15,923,2007,4971,PRC,Songhua River Basin Water Pollution Control & Mgt Project,PPTA,J,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,196.00,CFWS,,28-Sep-2007,True
16,924,2007,4972,NEP,"Improved Water Quality, Sanitation & Service Delivery in Emerging Towns Sector Devt",PPTA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,120.00,NET-WFPF,,28-Sep-2007,True
17,925,2007,4976,VIE,Thanh Hoa City Comprehensive Socioeconomic Devt Project,PPTA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,200.00,SPA,,01-Oct-2007,True
19,927,2007,4983,BAN,Supporting Good Governance Program,ADTA,J,PS,Public Sector Management,Bilateral,Single Donor,"1,000.00",DEN,,30-Oct-2007,True
20,928,2007,4985,NEP,West Seti Hydroelectric Project,PPTA,E,C,Energy,Special Fund,ADB,300.00,RCIF,,05-Nov-2007,True
22,930,2007,4994,SAM,Implementing the Samoa National Energy Policy,ADTA,J,C,Energy,Bilateral,Single Donor,350.00,Second Finnish Technical Assistance Grant Fund,,21-Nov-2007,True
23,931,2007,4994,SAM,Implementing the Samoa National Energy Policy,ADTA,J,PS,Energy,Bilateral,Single Donor,900.00,AUS,,21-Nov-2007,True
25,933,2007,4999,CAM,Financial Sector Program II Implementation,ADTA,J,C,Finance,Multi-Donor Trust Fund,Multidonor,450.00,FSDPF,,06-Dec-2007,True
26,934,2007,6113,REG,Making Markets Work Better for the Poor,RETA,E,PS,Public Sector Management,Bilateral,Single Donor,282.50,UKG,,11-May-2007,True
28,936,2007,6144,REG,Better Air Quality Mgt in Asia,RETA,E,PS,Water and Other Municipal Infrastructure and Services,Private Sector,Multidonor,75.00,Private Sector,,26-Aug-2007,True
29,937,2007,6245,REG,Strengthening Pro-Poor Policy in the Pacific,RETA,E,C,Public Sector Management,Bilateral,Single Donor,200.00,AUS,,30-Apr-2007,True
30,938,2007,6262,REG,Enhancing the Devt Effectiveness of the GMS Economic Cooperations Program,RETA,J,C,Industry and Trade,Bilateral,Single Donor,500.00,PRC-PR Fund,,18-Sep-2007,True
31,939,2007,6262,REG,Enhancing the Devt Effectiveness of the GMS Economic Cooperations Program,RETA,J,C,Industry and Trade,Special Fund,ADB,450.00,RCIF,,18-Sep-2007,True
32,940,2007,6278,REG,Innovative Info & Comm Technology in Educ & Its Potential for Reducing Poverty in Asia & Pacific,RETA,E,PS,Education,Special Fund,ADB,120.00,ADBI,,30-Aug-2007,True
33,941,2007,6285,REG,Strengthening Country Safeguard Systems ,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,100.00,CFWS,,22-Feb-2007,True
34,942,2007,6293,REG,Managing the Cities in Asia,RETA,E,PS,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"5,000.00",SWE,,12-Dec-2007,True
35,943,2007,6313,REG,Prevention & Control of Avian Influenza in Asia & Pacific ,RETA,E,PS,Health and Social Protection,Bilateral,Single Donor,"4,222.00",CAN,,05-Mar-2007,True
36,944,2007,6324,REG,Expansion of Subregional Coop in the Agri Sector in the GMS,RETA,E,PS,Agriculture and Natural Resources,Multilateral,Multidonor,200.00,IFAD,,30-Aug-2007,True
37,945,2007,6325,REG,Promoting Effective Water Mgt Policies and Practices 5 ,RETA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,"1,200.00",CFWS,,16-Apr-2007,True
38,946,2007,6384,REG,SSTA for Establishing a Renewable Energy & GHG Mitigation Investment Fund,RETA,E,C,Energy,Bilateral,Single Donor,150.00,Canada-Climate,,15-Jan-2007,True
39,947,2007,6386,REG,Cap Bldg for Sustainable Investment & Governance in the Pensions Industry,RETA,E,C,Finance,Bilateral,Single Donor,210.00,Swiss Cooperation Fund for Consulting Services,,06-Mar-2007,True
40,948,2007,6389,REG,Central Asia Reg Economic Coop Members Electricity Regulators Forum,RETA,E,C,Energy,Bilateral,Single Donor,500.00,PRC-PR Fund,,26-Mar-2007,True
41,949,2007,6390,REG,Transboundary Animal Disease Control for Poverty Redn in the GMS,RETA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,300.00,PRC-PR Fund,,27-Mar-2007,True
42,950,2007,6408,REG,Support for CIQS Harmonization in BIMP EAGA,RETA,E,C,Industry and Trade,Multi-Donor Trust Fund,Multidonor,600.00,RTFSI,,20-Aug-2007,True
43,951,2007,6409,REG,"Strengthening Central Asia Reg Economic Coop, 2007-2009",RETA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,,27-Aug-2007,True
44,952,2007,6410,REG,Capacity Devt for Monitoring & Evaluation,RETA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,,03-Sep-2007,True
45,953,2007,6412,REG,Public Policy Training Program 2007-2010,RETA,E,C,Public Sector Management,Bilateral,Single Donor,"17,800.00",JFPPT,,13-Sep-2007,True
46,954,2007,6413,REG,Strengthening Human Resource Devt Cooperation in the GMS,RETA,E,C,Multisector,Bilateral,Single Donor,22.00,PRC-PR Fund,,07-Nov-2007,True
48,956,2007,6420,REG,Promoting Climate Change Adaptation in Asia and the Pacific,RETA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,"2,800.00",UKG,,21-Nov-2007,True
49,957,2007,6422,REG,Mainstreaming Environment for Poverty Reduction,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,"2,850.00",PEF,,29-Nov-2007,True
51,959,2007,6427,REG,A Regional Review of the Economics of Climate Change in Southeast Asia,RETA,E,PS,Public Sector Management,Bilateral,Single Donor,904.20,UKG,,10-Dec-2007,True
52,960,2007,6431,REG,Promoting Rural Women's Entrepreneurship in Transition Economies,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,600.00,GDCF,,12-Dec-2007,True
53,961,2007,6432,REG,Private Sector-led Integration and Free Trade Agreements in South Asia,RETA,E,C,Industry and Trade,Special Fund,ADB,750.00,RCIF,,11-Dec-2007,True
54,962,2007,6433,REG,SASEC Regional Information & Communication Technology Research & Training Network ,RETA,E,C,Transport and ICT,Special Fund,ADB,"4,400.00",RCIF,,17-Dec-2007,True
55,963,2007,6438,REG,Implementation of the Technical Support Facility under the CMI,R-RDTA,J,C,Energy,Bilateral,Single Donor,300.00,SWI,,18-Dec-2007,True
56,964,2007,6438,REG,Implementation of the Technical Support Facility under the CMI,R-RDTA,J,PS,Energy,Bilateral,Single Donor,725.00,LUX,,18-Dec-2007,True
57,965,2007,6438,REG,Implementation of the Technical Support Facility under the CMI,R-RDTA,J,PS,Energy,Bilateral,Single Donor,"1,000.00",AUT,,18-Dec-2007,True
58,966,2007,6438,REG,Implementation of the Technical Support Facility under the CMI,R-RDTA,J,PS,Energy,Bilateral,Single Donor,"1,000.00",SPA,,18-Dec-2007,True
59,967,2007,6438,REG,Implementation of the Technical Support Facility under the CMI,R-RDTA,J,PS,Energy,Bilateral,Single Donor,"1,015.00",FIN,,18-Dec-2007,True
60,968,2007,6440,REG,Facilitating Regional Power Trading & Environmentally Sustainable Devt of Electricity Infrastructure in GMS,RETA,E,PS,Energy,Bilateral,Single Donor,"5,000.00",SWE,,19-Dec-2007,True
61,969,2007,6441,REG,Efficiency Improvement & Connectivity in Archipelagic Southeast Asia,RETA,J,C,Transport and ICT,Special Fund,ADB,"1,500.00",RCIF,,19-Dec-2007,True
62,970,2007,7000,INO,Strengthening Regulation and Governance,ADTA,J,C,Finance,Multi-Donor Trust Fund,Multidonor,500.00,FSDPF,,10-Dec-2007,True
63,971,2007,7006,PRC,Devt of Biomass Power Generation in Rural Areas,ADTA,E,C,Energy,Bilateral,Single Donor,600.00,Denmark-Energy 2,,10-Dec-2007,True
64,972,2007,7011,SRI,Building the Capacity of Sustainable Energy Authority,ADTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,600.00,CEF-CEFPF,,12-Dec-2007,True
65,973,2007,7013,LAO,Updating the National Water Policy and Strategy ,ADTA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,500.00,AUS,,12-Dec-2007,True
66,974,2007,7017,PRC,Enhancement of the Performance Audit Capacity of the China National Audit Office,ADTA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,400.00,MFDR,,12-Dec-2007,True
67,975,2007,7018,VIE,Strengthening Operations & Business Processes in Viet Nam Railways,ADTA,E,C,Transport and ICT,Bilateral,Single Donor,980.00,FRA-AFD GMS Fund,,12-Dec-2007,True
68,976,2007,7022,COO,Infrastructure Development Project,PPTA,J,PS,Multisector,Bilateral,Single Donor,200.00,NZL,,12-Dec-2007,True
69,977,2007,7024,VIE,Supporting the Energy Efficiency Program Implementation Project,ADTA,J,C,Energy,Bilateral,Single Donor,425.00,SPA,,12-Dec-2007,True
70,978,2007,7024,VIE,Supporting the Energy Efficiency Program Implementation Project,ADTA,J,C,Energy,Bilateral,Single Donor,500.00,FRA-AFD GMS Fund,,12-Dec-2007,True
71,979,2007,7029,VIE,Support for Health Systems Development Program,PPTA,J,PS,Health and Social Protection,Bilateral,Single Donor,180.00,AUS,,11-Dec-2007,True
72,980,2007,7037,CAM,Tonle Sap Poverty Reduction & Smallholder Devt Project,PPTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,300.00,Second Finnish Technical Assistance Grant Fund,,14-Dec-2007,True
73,981,2007,7049,PRC,Implementing the National Flood Management Strategy,ADTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,300.00,NET-WFPF,,20-Dec-2007,True
75,983,2008,4381,INO,Integrated Citarum Water Resources Management Project ,PPTA,E,PS,Agriculture and Natural Resources,Global Fund,Multidonor,200.00,GEF,,12-Mar-2008,True
76,984,2008,4534,PAK,Sindh Basic Urban Services,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,80.00,CFWS,,31-Jan-2008,True
77,985,2008,4689,VIE,Developing Benefit Sharing Mechanisms for People Adversely Affected by Power Generation Projects,ADTA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,240.00,MDTF-WFPF,,22-May-2008,True
78,986,2008,4763,INO,Metropolitan Sanitation Management and Health Project,PPTA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,500.00,MDTF-WFPF,,12-Mar-2008,True
79,987,2008,4902,TUV,Capacity Building for Taxation Reforms,PPTA,E,C,Public Sector Management,Bilateral,Single Donor,270.00,AUS,,12-Nov-2008,True
80,988,2008,4903,VIE,Viet Nam Water Sector Review,ADTA,E,PS,Agriculture and Natural Resources,Bilateral,Single Donor,550.00,NET,,11-Dec-2008,True
81,989,2008,4907,LAO,Sector-Wide Approach in Education Sector Development,ADTA,E,C,Education,Bilateral,Single Donor,477.00,AUS,,20-Jun-2008,True
82,990,2008,6092,REG,Enhancing Gender and Development Capacity in DMCs Phase 2 of RETA 5835,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,"1,000.00",GDCF,,03-Mar-2008,True
84,992,2008,6245,REG,Strengthening Pro-Poor Policy in the Pacific ,RETA,J,C,Public Sector Management,Bilateral,Single Donor,232.00,AUS,,15-Jul-2008,True
85,993,2008,6289,REG,Core Environment Program and Biodiversity Conservation Corridors Initiative in the GMS,RETA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,500.00,PRC-PR Fund,,11-Feb-2008,True
86,994,2008,6289,REG,Core Environment Program and Biodiversity Conservation Corridors Initiative in the GMS,RETA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,800.00,NET,,11-Feb-2008,True
87,995,2008,6289,REG,Core Environment Program and Biodiversity Conservation Corridors Initiative in the GMS,RETA,J,PS,Agriculture and Natural Resources,Bilateral,Single Donor,"4,900.00",FIN,,11-Feb-2008,True
88,996,2008,6291,REG,Rolling Out Air Quality Management in Asia,RETA,E,PS,Transport and ICT,Bilateral,Single Donor,484.63,SWE,,07-Oct-2008,True
89,997,2008,6293,REG,Managing the Cities in Asia,RETA,E,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,"2,000.00",SPA,,22-Sep-2008,True
90,998,2008,6310,REG,Development Study of GMS Economic Corridors,RETA,J,C,Public Sector Management,Bilateral,Single Donor,400.00,PRC-PR Fund,,07-Jul-2008,True
91,999,2008,6321,REG,Fighting HIV/AIDS in Asia and the Pacific ,R-CDTA,E,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,300.00,HIV/AIDS Fund,,28-May-2008,True
92,1000,2008,6321,REG,Fighting HIV/AIDS in Asia and the Pacific ,R-CDTA,E,C,Health and Social Protection,Multi-Donor Trust Fund,Multidonor,"1,000.00",HIV/AIDS Fund,,28-Mar-2008,True
93,1001,2008,6325,REG,Promoting Effective Water Management Policies and Practices 5,RETA,E,C,Water and Other Municipal Infrastructure and Services,Multi-Donor Trust Fund,Multidonor,"1,219.00",CFWS,,30-Oct-2008,True
94,1002,2008,6337,REG,Development Partnership Program for South Asia,R-CDTA,J,PS,Public Sector Management,Bilateral,Single Donor,288.00,SWE,,13-Feb-2008,True
95,1003,2008,6337,REG,Development Partnership Program for South Asia,R-CDTA,J,PS,Public Sector Management,Bilateral,Single Donor,300.00,NOR,,13-Feb-2008,True
96,1004,2008,6353,REG,Private Sector Development Initiative (Supplementary 1),R-PATA,E,C,Public Sector Management,Bilateral,Single Donor,300.00,AUS,,01-Jul-2008,True
97,1005,2008,6407,REG,Greater Mekong Subregion Phnom Penh Plan for Development Management III,CDTA,J,PS,Public Sector Management,Bilateral,Single Donor,400.00,NZL,,18-Aug-2008,True
98,1006,2008,6407,REG,Greater Mekong Subregion Phnom Penh Plan for Development Management III,CDTA,E,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,,07-Mar-2008,True
99,1007,2008,6416,REG,A Development Framework for Sustainable Urban Transport,RETA,J,PS,Transport and ICT,Bilateral,Single Donor,100.00,UKG,,14-Aug-2008,True
100,1008,2008,6416,REG,A Development Framework for Sustainable Urban Transport,RETA,E,PS,Transport and ICT,Bilateral,Single Donor,120.00,UKG,,11-Jun-2008,True
101,1009,2008,6422,REG,Mainstreaming Environment for Poverty Reduction,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,"2,600.00",PEF,,08-Aug-2008,True
102,1010,2008,6424,REG,Enhancing Effective Regulation of Water and Energy Infrastructure and Utility Services,RETA,E,C,Public Sector Management,Bilateral,Single Donor,700.00,AUS,,10-Jun-2008,True
103,1011,2008,6442,REG,Implementation of the Seed Capital Assistance Facility,RETA,E,PS,Energy,Global Fund,Multidonor,"4,200.00",GEF,,21-Jan-2008,True
105,1013,2008,6444,REG,Supporting the Boao Forum for Asia,RETA,E,C,Industry and Trade,Bilateral,Single Donor,500.00,PRC-PR Fund,,13-Feb-2008,True
106,1014,2008,6445,REG,Support for Implementation of the Second Governance and Anticorruption Action Plan,RETA,E,C,Public Sector Management,Multi-Donor Trust Fund,Multidonor,"2,600.00",GCF,,18-Feb-2008,True
107,1015,2008,6446,REG,"Strengthening Sound Environmental Management in the Brunei Darussalam, Indonesia, Malaysia & Philippines East ASEAN Growth Area",RETA,E,PS,Agriculture and Natural Resources,Global Fund,Multidonor,500.00,GEF,,22-Dec-2008,True
108,1016,2008,6448,REG,"Integrating Human Trafficking and Safe Migration Concerns for Women
and Children into Regional Cooperation",RETA,E,C,Health and Social Protection,Special Fund,ADB,"1,000.00",RCIF,,17-Mar-2008,True
109,1017,2008,6450,REG,Enhancing Transport and Trade Facilitation in the GMS,RETA,J,C,Industry and Trade,Bilateral,Single Donor,250.00,AUS,,28-Mar-2008,True
110,1018,2008,6450,REG,Enhancing Transport and Trade Facilitation in the GMS,RETA,J,C,Industry and Trade,Bilateral,Single Donor,500.00,PRC-PR Fund,,28-Mar-2008,True
111,1019,2008,6450,REG,Enhancing Transport and Trade Facilitation in the GMS,RETA,J,C,Industry and Trade,Special Fund,ADB,"1,000.00",RCIF,,28-Mar-2008,True
112,1020,2008,6451,REG,Capacity Building and Institutional Strengthening of the Free Trade Agreement Units in Selected ASEAN Member Countries,RETA,E,C,Industry and Trade,Bilateral,Single Donor,500.00,PRC-PR Fund,,28-Mar-2008,True
113,1021,2008,6453,REG,Capacity Building forMarket Development in ASEAN+3,RETA,E,C,Finance,Special Fund,ADB,500.00,RCIF,,28-Mar-2008,True
114,1022,2008,6454,REG,"Supporting Regional Capacities for Financial Asset and Liability
and Risk Management",RETA,E,C,Finance,Special Fund,ADB,320.00,RCIF,,27-Mar-2008,True
115,1023,2008,6463,REG,Strengthening Pacific Economic Analysis and Policy Dev't.,RETA,E,C,Public Sector Management,Bilateral,Single Donor,400.00,AUS,,09-Jun-2008,True
116,1024,2008,6467,REG,HIV Prevention and Infrastructure: Mitigating Risk in the GMS,R-CDTA,E,PS,Health and Social Protection,Bilateral,Single Donor,"6,000.00",AUS,,24-Jun-2008,True
117,1025,2008,6471,REG,Strengthening Coastal and Marine Resources Management in the Coral Triangle of the Pacific (Phase 1),RETA,E,C,Agriculture and Natural Resources,Bilateral,Single Donor,550.00,Second Finnish Technical Assistance Grant Fund,,18-Jul-2008,True
118,1026,2008,6471,REG,Strengthening Coastal and Marine Resources Management in the Coral Triangle of the Pacific (Phase 1),RETA,J,PS,Agriculture and Natural Resources,Global Fund,Multidonor,300.00,GEF,,18-Jul-2008,True
119,1027,2008,6472,REG,"Strategic Partnerships for Policy Development and Action to Foster
Regional Cooperation in South Asia",RETA,E,C,Public Sector Management,Special Fund,ADB,700.00,RCIF,,25-Jul-2008,True
120,1028,2008,6473,REG,Strengthening Southeast Asian Financial Markets,RETA,E,C,Finance,Special Fund,ADB,650.00,RCIF,,05-Aug-2008,True
121,1029,2008,6476,REG,"South Asian Regional Cooperation in 2030: The Potential Role of 
India and Pakistan",RETA,E,C,Public Sector Management,Special Fund,ADB,750.00,RCIF,,11-Aug-2008,True
122,1030,2008,6484,REG,Mekong Water Supply and Sanitation Project,RETA,J,C,Water and Other Municipal Infrastructure and Services,Bilateral,Single Donor,300.00,NET-WFPF,,08-Sep-2008,True
123,1031,2008,6484,REG,Mekong Water Supply and Sanitation Project,RETA,J,C,Water and Other Municipal Infrastructure and Services,Special Fund,ADB,500.00,RCIF,,08-Sep-2008,True
124,1032,2008,6485,REG,Promoting Energy Efficiency in the Pacific,R-PATA,E,C,Energy,Multi-Donor Trust Fund,Multidonor,"1,200.00",CEF-CEFPF,,12-Sep-2008,True
125,1033,2008,6486,REG,Improved Management of Water Resources in Central Asia,RETA,E,C,Agriculture and Natural Resources,Multi-Donor Trust Fund,Multidonor,998.00,MDTF-WFPF,,12-Sep-2008,True
126,1034,2008,6488,REG,"Central Asia Regional Economic Cooperation Institute, 2009-2012",RETA,J,C,Public Sector Management,Bilateral,Single Donor,500.00,PRC-PR Fund,,24-Sep-2008,True
127,1035,2008,6488,REG,"Central Asia Regional Economic Cooperation Institute, 2009-2012",RETA,J,C,Public Sector Management,Special Fund,ADB,500.00,RCIF,,24-Sep-2008,True
129,1037,2008,6494,REG,Developing a Computable General Equilibrium Modeling Framework for Analyzing the Impacts of Power Trading Between Mongolia and the People's Republic of China,RETA,E,C,Energy,Bilateral,Single Donor,150.00,PRC-PR Fund,,16-Oct-2008,True
130,1038,2008,6496,REG,Regional Partnerships for Climate Change Adaptation and Disaster Preparedness,PPTA,E,C,Agriculture and Natural Resources,Special Fund,ADB,"1,000.00",RCIF,,27-Oct-2008,True
131,1039,2008,6498,REG,Knowledge and Innovation Support for ADB's Water Financing Program,R-CDTA,J,C,Agriculture and Natural Resources,Bilateral,Single Donor,800.00,NET-WFPF,,03-Nov-2008,True
